original_varname,new_varname,object_name,quantity_name,annotated_object_name
model_grid_cell~dual_edge_center__x_coordinate,model_grid_dual-cell_edge_center__x_coordinate,model_grid_dual-cell_edge_center,x_coordinate,(model-contains-part-(grid-contains-part-((dual-cell-has-part-edge)-has-abstraction-center)))
model_grid_cell~dual_edge_center__y_component_of_velocity,model_grid_dual-cell_edge_center_water__y_component_of_velocity,model_grid_dual-cell_edge_center_water,y_component_of_velocity,((model-contains-part-(grid-contains-part-((dual-cell-has-part-edge)-has-abstraction-center)))-is-model-location-of-water)
model_grid_cell~dual_edge_center__y_coordinate,model_grid_dual-cell_edge_center__y_coordinate,model_grid_dual-cell_edge_center,y_coordinate,(model-contains-part-(grid-contains-part-((dual-cell-has-part-edge)-has-abstraction-center)))
model_grid_cell~dual_edge_center__z_component_of_velocity,model_grid_dual-cell_edge_center_water__z_component_of_velocity,model_grid_dual-cell_edge_center_water,z_component_of_velocity,((model-contains-part-(grid-contains-part-((dual-cell-has-part-edge)-has-abstraction-center)))-is-model-location-of-water)
model_grid_cell~dual_edge_center__z_coordinate,model_grid_dual-cell_edge_center__z_coordinate,model_grid_dual-cell_edge_center,z_coordinate,(model-contains-part-(grid-contains-part-((dual-cell-has-part-edge)-has-abstraction-center)))
model_grid_cell~dual_face__area,model_grid_dual-cell_face__area,model_grid_dual-cell_face,area,(model-contains-part-(grid-contains-part-(dual-cell-has-part-face)))
model_grid_cell~dual_face_centroid__depth,model_grid_dual-cell_face_centroid_water__depth,model_grid_dual-cell_face_centroid_water,depth,((model-contains-part-(grid-contains-part-((dual-cell-has-part-face)-has-abstraction-centroid)))-is-model-location-of-water)
model_grid_cell~dual_face_centroid__latitude,model_grid_dual-cell_face_centroid__latitude,model_grid_dual-cell_face_centroid,latitude,(model-contains-part-(grid-contains-part-((dual-cell-has-part-face)-has-abstraction-centroid)))
model_grid_cell~dual_face_centroid__longitude,model_grid_dual-cell_face_centroid__longitude,model_grid_dual-cell_face_centroid,longitude,(model-contains-part-(grid-contains-part-((dual-cell-has-part-face)-has-abstraction-centroid)))
model_grid_cell~dual_face_centroid__virtual_latitude,model_grid_dual-cell_face_centroid__virtual_latitude,model_grid_dual-cell_face_centroid,virtual_latitude,(model-contains-part-(grid-contains-part-((dual-cell-has-part-face)-has-abstraction-centroid)))
model_grid_cell~dual_face_centroid__virtual_longitude,model_grid_dual-cell_face_centroid__virtual_longitude,model_grid_dual-cell_face_centroid,virtual_longitude,(model-contains-part-(grid-contains-part-((dual-cell-has-part-face)-has-abstraction-centroid)))
model_grid_cell~dual_face_centroid__x_component_of_velocity,model_grid_dual-cell_face_centroid_water__x_component_of_velocity,model_grid_dual-cell_face_centroid_water,x_component_of_velocity,((model-contains-part-(grid-contains-part-((dual-cell-has-part-face)-has-abstraction-centroid)))-is-model-location-of-water)
model_grid_cell~dual_face_centroid__x_coordinate,model_grid_dual-cell_face_centroid__x_coordinate,model_grid_dual-cell_face_centroid,x_coordinate,(model-contains-part-(grid-contains-part-((dual-cell-has-part-face)-has-abstraction-centroid)))
model_grid_cell~dual_face_centroid__y_component_of_velocity,model_grid_dual-cell_face_centroid_water__y_component_of_velocity,model_grid_dual-cell_face_centroid_water,y_component_of_velocity,((model-contains-part-(grid-contains-part-((dual-cell-has-part-face)-has-abstraction-centroid)))-is-model-location-of-water)
model_grid_cell~dual_face_centroid__y_coordinate,model_grid_dual-cell_face_centroid__y_coordinate,model_grid_dual-cell_face_centroid,y_coordinate,(model-contains-part-(grid-contains-part-((dual-cell-has-part-face)-has-abstraction-centroid)))
model_grid_cell~dual_face_centroid__z_component_of_velocity,model_grid_dual-cell_face_centroid_water__z_component_of_velocity,model_grid_dual-cell_face_centroid_water,z_component_of_velocity,((model-contains-part-(grid-contains-part-((dual-cell-has-part-face)-has-abstraction-centroid)))-is-model-location-of-water)
model_grid_cell~dual_face_centroid__z_coordinate,model_grid_dual-cell_face_centroid__z_coordinate,model_grid_dual-cell_face_centroid,z_coordinate,(model-contains-part-(grid-contains-part-((dual-cell-has-part-face)-has-abstraction-centroid)))
model_grid_node~dual__depth,model_grid_dual-node_water__depth,model_grid_dual-node_water,depth,((model-contains-part-(grid-contains-part-dual-node))-is-model-location-of-water)
model_grid_node~dual__latitude,model_grid_dual-node__latitude,model_grid_dual-node,latitude,(model-contains-part-(grid-contains-part-dual-node))
model_grid_node~dual__longitude,model_grid_dual-node__longitude,model_grid_dual-node,longitude,(model-contains-part-(grid-contains-part-dual-node))
model_grid_node~dual__virtual_latitude,model_grid_dual-node__virtual_latitude,model_grid_dual-node,virtual_latitude,(model-contains-part-(grid-contains-part-dual-node))
model_grid_node~dual__virtual_longitude,model_grid_dual-node__virtual_longitude,model_grid_dual-node,virtual_longitude,(model-contains-part-(grid-contains-part-dual-node))
model_grid_node~dual__x_component_of_velocity,model_grid_dual-node_water__x_component_of_velocity,model_grid_dual-node_water,x_component_of_velocity,((model-contains-part-(grid-contains-part-dual-node))-is-model-location-of-water)
model_grid_node~dual__x_coordinate,model_grid_dual-node__x_coordinate,model_grid_dual-node,x_coordinate,(model-contains-part-(grid-contains-part-dual-node))
model_grid_node~dual__y_component_of_velocity,model_grid_dual-node_water__y_component_of_velocity,model_grid_dual-node_water,y_component_of_velocity,((model-contains-part-(grid-contains-part-dual-node))-is-model-location-of-water)
model_grid_node~dual__y_coordinate,model_grid_dual-node__y_coordinate,model_grid_dual-node,y_coordinate,(model-contains-part-(grid-contains-part-dual-node))
model_grid_node~dual__z_component_of_velocity,model_grid_dual-node_water__z_component_of_velocity,model_grid_dual-node_water,z_component_of_velocity,((model-contains-part-(grid-contains-part-dual-node))-is-model-location-of-water)
model_grid_node~dual__z_coordinate,model_grid_dual-node__z_coordinate,model_grid_dual-node,z_coordinate,(model-contains-part-(grid-contains-part-dual-node))
model_grid_cell~primary__area,model_grid_primary-cell__area,model_grid_primary-cell,area,(model-contains-part-(grid-contains-part-primary-cell))
model_grid_cell~primary__column_index,model_grid_primary-cell__column_index,model_grid_primary-cell,column_index,(model-contains-part-(grid-contains-part-primary-cell))
model_grid_cell~primary__d8_flow_length,model_grid_primary-cell_water_flowing__d8_length,model_grid_primary-cell_water_flowing,d8_length,((model-contains-part-(grid-contains-part-primary-cell))-is-model-location-of-(water-undergoes-process-flowing))
model_grid_cell~primary__d8_flow_width,model_grid_primary-cell_water_flowing__d8_width,model_grid_primary-cell_water_flowing,d8_width,((model-contains-part-(grid-contains-part-primary-cell))-is-model-location-of-(water-undergoes-process-flowing))
model_grid_cell~primary__d8_slope,model_grid_primary-cell__d8_slope,model_grid_primary-cell,d8_slope,(model-contains-part-(grid-contains-part-primary-cell))
model_grid_cell~primary__d8_total_contributing_area,model_grid_primary-cell__d8_contributing_area,model_grid_primary-cell,d8_contributing_area,(model-contains-part-(grid-contains-part-primary-cell))
model_grid_cell~primary__d_infinity_slope,model_grid_primary-cell__d-infinity_slope,model_grid_primary-cell,d-infinity_slope,(model-contains-part-(grid-contains-part-primary-cell))
model_grid_cell~primary__d_infinity_total_contributing_area,model_grid_primary-cell__d-infinity_contributing_area,model_grid_primary-cell,d-infinity_contributing_area,(model-contains-part-(grid-contains-part-primary-cell))
model_grid_cell~primary__depth_index,model_grid_primary-cell_water__depth_index,model_grid_primary-cell_water,depth_index,((model-contains-part-(grid-contains-part-primary-cell))-is-model-location-of-water)
model_grid_cell~primary__diameter,model_grid_primary-cell__diameter,model_grid_primary-cell,diameter,(model-contains-part-(grid-contains-part-primary-cell))
model_grid_cell~primary__perimeter,model_grid_primary-cell__perimeter,model_grid_primary-cell,perimeter,(model-contains-part-(grid-contains-part-primary-cell))
model_grid_cell~primary__row-major-offset_index,model_grid_primary-cell__row-major-offset_index,model_grid_primary-cell,row-major-offset_index,(model-contains-part-(grid-contains-part-primary-cell))
model_grid_cell~primary__row_index,model_grid_primary-cell__row_index,model_grid_primary-cell,row_index,(model-contains-part-(grid-contains-part-primary-cell))
model_grid_cell~primary__surface_area,model_grid_primary-cell__surface_area,model_grid_primary-cell,surface_area,(model-contains-part-(grid-contains-part-primary-cell))
model_grid_cell~primary__total_contributing_area,model_grid_primary-cell__contributing_area,model_grid_primary-cell,contributing_area,(model-contains-part-(grid-contains-part-primary-cell))
model_grid_cell~primary__volume,model_grid_primary-cell_water__volume,model_grid_primary-cell_water,volume,((model-contains-part-(grid-contains-part-primary-cell))-is-model-location-of-water)
model_grid_cell~primary_centroid__depth,model_grid_primary-cell_centroid_water__depth,model_grid_primary-cell_centroid_water,depth,((model-contains-part-((grid-contains-part-primary-cell)-has-abstraction-centroid))-is-model-location-of-water)
model_grid_cell~primary_centroid__latitude,model_grid_primary-cell_centroid__latitude,model_grid_primary-cell_centroid,latitude,(model-contains-part-((grid-contains-part-primary-cell)-has-abstraction-centroid))
model_grid_cell~primary_centroid__longitude,model_grid_primary-cell_centroid__longitude,model_grid_primary-cell_centroid,longitude,(model-contains-part-((grid-contains-part-primary-cell)-has-abstraction-centroid))
model_grid_cell~primary_centroid__virtual_latitude,model_grid_primary-cell_centroid__virtual_latitude,model_grid_primary-cell_centroid,virtual_latitude,(model-contains-part-((grid-contains-part-primary-cell)-has-abstraction-centroid))
model_grid_cell~primary_centroid__virtual_longitude,model_grid_primary-cell_centroid__virtual_longitude,model_grid_primary-cell_centroid,virtual_longitude,(model-contains-part-((grid-contains-part-primary-cell)-has-abstraction-centroid))
model_grid_cell~primary_centroid__x_component_of_velocity,model_grid_primary-cell_centroid_water__x_component_of_velocity,model_grid_primary-cell_centroid_water,x_component_of_velocity,((model-contains-part-((grid-contains-part-primary-cell)-has-abstraction-centroid))-is-model-location-of-water)
model_grid_cell~primary_centroid__x_coordinate,model_grid_primary-cell_centroid__x_coordinate,model_grid_primary-cell_centroid,x_coordinate,(model-contains-part-((grid-contains-part-primary-cell)-has-abstraction-centroid))
model_grid_cell~primary_centroid__y_component_of_velocity,model_grid_primary-cell_centroid_water__y_component_of_velocity,model_grid_primary-cell_centroid_water,y_component_of_velocity,((model-contains-part-((grid-contains-part-primary-cell)-has-abstraction-centroid))-is-model-location-of-water)
model_grid_cell~primary_centroid__y_coordinate,model_grid_primary-cell_centroid__y_coordinate,model_grid_primary-cell_centroid,y_coordinate,(model-contains-part-((grid-contains-part-primary-cell)-has-abstraction-centroid))
model_grid_cell~primary_centroid__z_component_of_velocity,model_grid_primary-cell_centroid_water__z_component_of_velocity,model_grid_primary-cell_centroid_water,z_component_of_velocity,((model-contains-part-((grid-contains-part-primary-cell)-has-abstraction-centroid))-is-model-location-of-water)
model_grid_cell~primary_centroid__z_coordinate,model_grid_primary-cell_centroid__z_coordinate,model_grid_primary-cell_centroid,z_coordinate,(model-contains-part-((grid-contains-part-primary-cell)-has-abstraction-centroid))
model_grid_cell~primary_edge__length,model_grid_primary-cell_edge__length,model_grid_primary-cell_edge,length,(model-contains-part-(grid-contains-part-(primary-cell-has-part-edge)))
model_grid_cell~primary_edge_center__depth,model_grid_primary-cell_edge_center_water__depth,model_grid_primary-cell_edge_center_water,depth,((model-contains-part-(grid-contains-part-((primary-cell-has-part-edge)-has-abstraction-center)))-is-model-location-of-water)
model_grid_cell~primary_edge_center__latitude,model_grid_primary-cell_edge_center__latitude,model_grid_primary-cell_edge_center,latitude,(model-contains-part-(grid-contains-part-((primary-cell-has-part-edge)-has-abstraction-center)))
model_grid_cell~primary_edge_center__longitude,model_grid_primary-cell_edge_center__longitude,model_grid_primary-cell_edge_center,longitude,(model-contains-part-(grid-contains-part-((primary-cell-has-part-edge)-has-abstraction-center)))
model_grid_cell~primary_edge_center__virtual_latitude,model_grid_primary-cell_edge_center__virtual_latitude,model_grid_primary-cell_edge_center,virtual_latitude,(model-contains-part-(grid-contains-part-((primary-cell-has-part-edge)-has-abstraction-center)))
model_grid_cell~primary_edge_center__virtual_longitude,model_grid_primary-cell_edge_center__virtual_longitude,model_grid_primary-cell_edge_center,virtual_longitude,(model-contains-part-(grid-contains-part-((primary-cell-has-part-edge)-has-abstraction-center)))
model_grid_cell~primary_edge_center__x_component_of_velocity,model_grid_primary-cell_edge_center_water__x_component_of_velocity,model_grid_primary-cell_edge_center_water,x_component_of_velocity,((model-contains-part-(grid-contains-part-((primary-cell-has-part-edge)-has-abstraction-center)))-is-model-location-of-water)
model_grid_cell~primary_edge_center__x_coordinate,model_grid_primary-cell_edge_center__x_coordinate,model_grid_primary-cell_edge_center,x_coordinate,(model-contains-part-(grid-contains-part-((primary-cell-has-part-edge)-has-abstraction-center)))
model_grid_cell~primary_edge_center__y_component_of_velocity,model_grid_primary-cell_edge_center_water__y_component_of_velocity,model_grid_primary-cell_edge_center_water,y_component_of_velocity,((model-contains-part-(grid-contains-part-((primary-cell-has-part-edge)-has-abstraction-center)))-is-model-location-of-water)
model_grid_cell~primary_edge_center__y_coordinate,model_grid_primary-cell_edge_center__y_coordinate,model_grid_primary-cell_edge_center,y_coordinate,(model-contains-part-(grid-contains-part-((primary-cell-has-part-edge)-has-abstraction-center)))
model_grid_cell~primary_edge_center__z_component_of_velocity,model_grid_primary-cell_edge_center_water__z_component_of_velocity,model_grid_primary-cell_edge_center_water,z_component_of_velocity,((model-contains-part-(grid-contains-part-((primary-cell-has-part-edge)-has-abstraction-center)))-is-model-location-of-water)
model_grid_cell~primary_edge_center__z_coordinate,model_grid_primary-cell_edge_center__z_coordinate,model_grid_primary-cell_edge_center,z_coordinate,(model-contains-part-(grid-contains-part-((primary-cell-has-part-edge)-has-abstraction-center)))
model_grid_cell~primary_face__area,model_grid_primary-cell_face__area,model_grid_primary-cell_face,area,(model-contains-part-(grid-contains-part-(primary-cell-has-part-face)))
model_grid_cell~primary_face_centroid__depth,model_grid_primary-cell_face_centroid_water__depth,model_grid_primary-cell_face_centroid_water,depth,((model-contains-part-(grid-contains-part-((primary-cell-has-part-face)-has-abstraction-centroid)))-is-model-location-of-water)
model_grid_cell~primary_face_centroid__latitude,model_grid_primary-cell_face_centroid__latitude,model_grid_primary-cell_face_centroid,latitude,(model-contains-part-(grid-contains-part-((primary-cell-has-part-face)-has-abstraction-centroid)))
model_grid_cell~primary_face_centroid__longitude,model_grid_primary-cell_face_centroid__longitude,model_grid_primary-cell_face_centroid,longitude,(model-contains-part-(grid-contains-part-((primary-cell-has-part-face)-has-abstraction-centroid)))
model_grid_cell~primary_face_centroid__virtual_latitude,model_grid_primary-cell_face_centroid__virtual_latitude,model_grid_primary-cell_face_centroid,virtual_latitude,(model-contains-part-(grid-contains-part-((primary-cell-has-part-face)-has-abstraction-centroid)))
model_grid_cell~primary_face_centroid__virtual_longitude,model_grid_primary-cell_face_centroid__virtual_longitude,model_grid_primary-cell_face_centroid,virtual_longitude,(model-contains-part-(grid-contains-part-((primary-cell-has-part-face)-has-abstraction-centroid)))
model_grid_cell~primary_face_centroid__x_component_of_velocity,model_grid_primary-cell_face_centroid_water__x_component_of_velocity,model_grid_primary-cell_face_centroid_water,x_component_of_velocity,((model-contains-part-(grid-contains-part-((primary-cell-has-part-face)-has-abstraction-centroid)))-is-model-location-of-water)
model_grid_cell~primary_face_centroid__x_coordinate,model_grid_primary-cell_face_centroid__x_coordinate,model_grid_primary-cell_face_centroid,x_coordinate,(model-contains-part-(grid-contains-part-((primary-cell-has-part-face)-has-abstraction-centroid)))
model_grid_cell~primary_face_centroid__y_component_of_velocity,model_grid_primary-cell_face_centroid_water__y_component_of_velocity,model_grid_primary-cell_face_centroid_water,y_component_of_velocity,((model-contains-part-(grid-contains-part-((primary-cell-has-part-face)-has-abstraction-centroid)))-is-model-location-of-water)
model_grid_cell~primary_face_centroid__y_coordinate,model_grid_primary-cell_face_centroid__y_coordinate,model_grid_primary-cell_face_centroid,y_coordinate,(model-contains-part-(grid-contains-part-((primary-cell-has-part-face)-has-abstraction-centroid)))
model_grid_cell~primary_face_centroid__z_component_of_velocity,model_grid_primary-cell_face_centroid_water__z_component_of_velocity,model_grid_primary-cell_face_centroid_water,z_component_of_velocity,((model-contains-part-(grid-contains-part-((primary-cell-has-part-face)-has-abstraction-centroid)))-is-model-location-of-water)
model_grid_cell~primary_face_centroid__z_coordinate,model_grid_primary-cell_face_centroid__z_coordinate,model_grid_primary-cell_face_centroid,z_coordinate,(model-contains-part-(grid-contains-part-((primary-cell-has-part-face)-has-abstraction-centroid)))
model_grid_node~primary__depth,model_grid_primary-node_water__depth,model_grid_primary-node_water,depth,((model-contains-part-(grid-contains-part-primary-node))-is-model-location-of-water)
model_grid_node~primary__latitude,model_grid_primary-node__latitude,model_grid_primary-node,latitude,(model-contains-part-(grid-contains-part-primary-node))
model_grid_node~primary__longitude,model_grid_primary-node__longitude,model_grid_primary-node,longitude,(model-contains-part-(grid-contains-part-primary-node))
model_grid_node~primary__virtual_latitude,model_grid_primary-node__virtual_latitude,model_grid_primary-node,virtual_latitude,(model-contains-part-(grid-contains-part-primary-node))
model_grid_node~primary__virtual_longitude,model_grid_primary-node__virtual_longitude,model_grid_primary-node,virtual_longitude,(model-contains-part-(grid-contains-part-primary-node))
model_grid_node~primary__x_component_of_velocity,model_grid_primary-node_water__x_component_of_velocity,model_grid_primary-node_water,x_component_of_velocity,((model-contains-part-(grid-contains-part-primary-node))-is-model-location-of-water)
model_grid_node~primary__x_coordinate,model_grid_primary-node__x_coordinate,model_grid_primary-node,x_coordinate,(model-contains-part-(grid-contains-part-primary-node))
model_grid_node~primary__y_component_of_velocity,model_grid_primary-node_water__y_component_of_velocity,model_grid_primary-node_water,y_component_of_velocity,((model-contains-part-(grid-contains-part-primary-node))-is-model-location-of-water)
model_grid_node~primary__y_coordinate,model_grid_primary-node__y_coordinate,model_grid_primary-node,y_coordinate,(model-contains-part-(grid-contains-part-primary-node))
model_grid_node~primary__z_component_of_velocity,model_grid_primary-node_water__z_component_of_velocity,model_grid_primary-node_water,z_component_of_velocity,((model-contains-part-(grid-contains-part-primary-node))-is-model-location-of-water)
model_grid_node~primary__z_coordinate,model_grid_primary-node__z_coordinate,model_grid_primary-node,z_coordinate,(model-contains-part-(grid-contains-part-primary-node))
model_grid_shell__depth_to_bottom,model_grid_shell_to-grid_bottom__depth,model_grid_shell_to-grid_bottom,depth,((model-contains-part-(grid-contains-part-shell))-measured-to-(grid-has-part-bottom))
model_grid_shell__depth_to_top,model_grid_shell_to-grid_top__depth,model_grid_shell_to-grid_top,depth,((model-contains-part-(grid-contains-part-shell))-measured-to-(grid-has-part-top))
model_grid_shell__index_from_bottom,model_grid_shell_from-grid_bottom__index,model_grid_shell_from-grid_bottom,index,((model-contains-part-(grid-contains-part-shell))-measured-from-(grid-has-part-bottom))
model_grid_shell__index_from_top,model_grid_shell_from-grid_top__index,model_grid_shell_from-grid_top,index,((model-contains-part-(grid-contains-part-shell))-measured-from-(grid-has-part-top))
model_grid_virtual-north-pole__azimuth_angle,model_grid_virtual-north-pole__azimuth_angle,model_grid_virtual-north-pole,azimuth_angle,(model-contains-part-(grid-contains-part-virtual-north-pole))
model_grid_virtual-north-pole__latitude,model_grid_virtual-north-pole__latitude,model_grid_virtual-north-pole,latitude,(model-contains-part-(grid-contains-part-virtual-north-pole))
model_grid_virtual-north-pole__longitude,model_grid_virtual-north-pole__longitude,model_grid_virtual-north-pole,longitude,(model-contains-part-(grid-contains-part-virtual-north-pole))
crop~mature~dry__harvest_mass-per-area_yield,crop~mature~dry_harvest__mass-per-area_yield,crop~mature~dry_harvest,mass-per-area_yield,(crop~mature~dry-undergoes-process-harvest)
crop~mature~dry_tops__mass-per-area_yield,crop~mature~dry_tops__mass-per-area_yield,crop~mature~dry_tops,mass-per-area_yield,(crop~mature~dry-has-part-tops)
fertilizer~applied-as-nitrogen__mass-per-area_density,fertilizer-as-nitrogen_application__mass-per-area_density,fertilizer-as-nitrogen_application,mass-per-area_density,(fertilizer-expressed-as-nitrogen-undergoes-process-application)
soil_fertilizer__fertilization_date,soil_fertilizer_fertilization__time,soil_fertilizer_fertilization,time,(soil-as-sink-fertilizer-undergoes-process-fertilization)
soil_fertilizer__application_depth,soil_fertilizer_application__depth,soil_fertilizer_application,depth,(soil-as-sink-fertilizer-undergoes-process-application)
field__longitude,field__longitude,field,longitude,field
field__latitude,field__latitude,field,latitude,field
soil_layer__initial_depth,soil_layer__initial_depth,soil_layer,initial_depth,(soil-has-form-layer)
soil_layer_water__initial_volume_fraction,soil_layer_water__initial_volume_fraction,soil_layer_water,initial_volume_fraction,((soil-has-form-layer)-as-medium-water)
soil_ammonium-as-nitrogen~elemental__dry_mass_fraction,soil~dry_ammonium-as-nitrogen~elemental__mass_fraction,soil~dry_ammonium-as-nitrogen~elemental,mass_fraction,(soil~dry-as-medium-ammonium-expressed-as-nitrogen~elemental)
soil_nitrate-as-nitrogen~elemental__dry_mass_fraction,soil~dry_nitrate-as-nitrogen~elemental__mass_fraction,soil~dry_nitrate-as-nitrogen~elemental,mass_fraction,(soil~dry-as-medium-nitrate-expressed-as-nitrogen~elemental)
weather-station__latitude,weather-station__latitude,weather-station,latitude,weather-station
weather-station__longitude,weather-station__longitude,weather-station,longitude,weather-station
weather-station__identification_number,weather-station__identification_number,weather-station,identification_number,weather-station
air__daily_max_of_temperature,air__one-day_max_of_temperature,air,one-day_max_of_temperature,air
air__daily_min_of_temperature,air__one-day_min_of_temperature,air,one-day_min_of_temperature,air
air__yearly_average_of_temperature,air__one-year_average_of_temperature,air,one-year_average_of_temperature,air
water~incoming-and-outgoing__volume_flow_rate,water~incoming-and-outgoing_flowing__volume_rate,water~incoming-and-outgoing_flowing,volume_rate,(water~incoming-and-outgoing-undergoes-process-flowing)
soil_layer__thickness,soil_layer__thickness,soil_layer,thickness,(soil-has-form-layer)
land_surface_snow__sublimation_volume_flux,land_surface_snow_sublimation__volume_flux,land_surface_snow_sublimation,volume_flux,((land-has-abstraction-surface)-is-location-of-(snow-undergoes-process-sublimation))
soil_surface_water__evaporation_volume_flux,soil_surface_water_evaporation__volume_flux,soil_surface_water_evaporation,volume_flux,((soil-has-abstraction-surface)-as-source-water-undergoes-process-evaporation)
crop_canopy_water__transpiration_volume_flux,crop_canopy_water_transpiration__volume_flux,crop_canopy_water_transpiration,volume_flux,((crop-contains-part-canopy)-as-source-water-undergoes-process-transpiration)
soil_surface_water__irrigation_volume_flux,soil_surface_water_irrigation__volume_flux,soil_surface_water_irrigation,volume_flux,((soil-has-abstraction-surface)-as-sink-water-undergoes-process-irrigation)
soil_surface_water__runoff_volume_flux,soil_surface_water_runoff__volume_flux,soil_surface_water_runoff,volume_flux,((soil-has-abstraction-surface)-as-source-water-undergoes-process-runoff)
atmosphere_air_water~vapor__max_of_relative_saturation,atmosphere_air_water~vapor__max_of_relative_saturation,atmosphere_air_water~vapor,max_of_relative_saturation,(atmosphere-contains-(air-as-medium-water~vapor))
atmosphere_air_water~vapor__min_of_relative_saturation,atmosphere_air_water~vapor__min_of_relative_saturation,atmosphere_air_water~vapor,min_of_relative_saturation,(atmosphere-contains-(air-as-medium-water~vapor))
atmosphere_bottom_air__average_of_temperature,atmosphere_bottom_air__average_of_temperature,atmosphere_bottom_air,average_of_temperature,((atmosphere-has-part-bottom)-contains-air)
atmosphere_bottom_air__min_of_temperature,atmosphere_bottom_air__min_of_temperature,atmosphere_bottom_air,min_of_temperature,((atmosphere-has-part-bottom)-contains-air)
atmosphere_bottom_air__max_of_temperature,atmosphere_bottom_air__max_of_temperature,atmosphere_bottom_air,max_of_temperature,((atmosphere-has-part-bottom)-contains-air)
atmosphere_water__precipitation_leq_volume_flux,atmosphere_water_precipitation__leq_volume_flux,atmosphere_water_precipitation,leq_volume_flux,(atmosphere-as-source-water-undergoes-process-precipitation)
atmosphere_water__time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__time_integral_of_leq_volume_flux,atmosphere_water_precipitation,time_integral_of_leq_volume_flux,(atmosphere-as-source-water-undergoes-process-precipitation)
crop__name,crop__name,crop,name,crop
crop__phenological_stage,crop__phenological_stage,crop,phenological_stage,crop
crop__planting_depth,crop_planting__depth,crop_planting,depth,(crop-undergoes-process-planting)
soil_rock__volume_fraction,soil_rock__volume_fraction,soil_rock,volume_fraction,(soil-as-medium-rock)
soil_layer~base__depth,soil_base-layer__depth,soil_base-layer,depth,(soil-has-form-base-layer)
soil_layer~1_water__volume_fraction,soil_layer~1_water__volume_fraction,soil_layer~1_water,volume_fraction,((soil-has-form-layer~1)-as-medium-water)
ammonia-as-nitrogen__mass-per-area_volatilization_density,ammonia-as-nitrogen_volatilization__mass-per-area_density,ammonia-as-nitrogen_volatilization,mass-per-area_density,(ammonia-expressed-as-nitrogen-undergoes-process-volatilization)
ammonia-as-nitrogen__average_of_mass_volatilization_rate,ammonia-as-nitrogen_volatilization__average_of_mass_rate,ammonia-as-nitrogen_volatilization,average_of_mass_rate,(ammonia-expressed-as-nitrogen-undergoes-process-volatilization)
ammonium-as-nitrogen__average_of_mass_leaching_rate,ammonium-as-nitrogen_leaching__average_of_mass_rate,ammonium-as-nitrogen_leaching,average_of_mass_rate,(ammonium-expressed-as-nitrogen-undergoes-process-leaching)
ammonium-as-nitrogen__mass-per-area_nitrification_density,ammonium-as-nitrogen_nitrification__mass-per-area_density,ammonium-as-nitrogen_nitrification,mass-per-area_density,(ammonium-expressed-as-nitrogen-undergoes-process-nitrification)
atmosphere_air__daily_max_of_temperature,atmosphere_air__one-day_max_of_temperature,atmosphere_air,one-day_max_of_temperature,(atmosphere-contains-air)
atmosphere_air__daily_min_of_temperature,atmosphere_air__one-day_min_of_temperature,atmosphere_air,one-day_min_of_temperature,(atmosphere-contains-air)
radiation~solar__energy_flux,radiation~solar__energy_flux,radiation~solar,energy_flux,radiation~solar
atmosphere_water__daily_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__one-day_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,one-day_time_integral_of_leq_volume_flux,(atmosphere-as-source-water-undergoes-process-precipitation)
nitrate-as-nitrogen__mass-per-area_denitrification_density,nitrate-as-nitrogen_denitrification__mass-per-area_density,nitrate-as-nitrogen_denitrification,mass-per-area_density,(nitrate-expressed-as-nitrogen-undergoes-process-denitrification)
nitrate-as-nitrogen__average_of_mass_leaching_rate,nitrate-as-nitrogen_leaching__average_of_mass_rate,nitrate-as-nitrogen_leaching,average_of_mass_rate,(nitrate-expressed-as-nitrogen-undergoes-process-leaching)
nitrogen__average_of_gross_mass_mineralization_rate,nitrogen_mineralization__average_of_gross_mass_rate,nitrogen_mineralization,average_of_gross_mass_rate,(nitrogen-undergoes-process-mineralization)
nitrogen__average_of_gross_mass_immobilization_rate,nitrogen_immobilization__average_of_gross_mass_rate,nitrogen_immobilization,average_of_gross_mass_rate,(nitrogen-undergoes-process-immobilization)
nitrogen__mass-per-area_mineralization_density,nitrogen_mineralization__mass-per-area_density,nitrogen_mineralization,mass-per-area_density,(nitrogen-undergoes-process-mineralization)
nitrogen__average_of_net_mass_mineralization_rate,nitrogen_mineralization__average_of_net_mass_rate,nitrogen_mineralization,average_of_net_mass_rate,(nitrogen-undergoes-process-mineralization)
soil_nitrogen__average_of_mass_denitrification_rate,soil_denitrification_nitrogen__average_of_mass_rate,soil_denitrification_nitrogen,average_of_mass_rate,((soil-undergoes-process-denitrification)-is-source-of-nitrogen)
soil_nitrogen__average_of_mass_nitrification_rate,soil_nitrification_nitrogen__average_of_mass_rate,soil_nitrification_nitrogen,average_of_mass_rate,((soil-undergoes-process-nitrification)-is-source-of-nitrogen)
soil_surface_water__time_integral_of_evaporation_volume_flux,soil_surface_water_evaporation__time_integral_of_volume_flux,soil_surface_water_evaporation,time_integral_of_volume_flux,((soil-has-abstraction-surface)-as-source-water-undergoes-process-evaporation)
