original_varname,new_varname,object_name,quantity_name,annotated_object_name
earth_interior_earthquake__magnitude_of_moment_tensor,earth_interior_earthquake__magnitude_of_seismic_moment,earth_interior_earthquake,magnitude_of_seismic_moment,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__modified_mercali_intensity,earth_interior_earthquake__modified-mercalli-intensity_scale,earth_interior_earthquake,modified-mercalli-intensity_scale,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__modified_omori_law_c_parameter,earth_interior_earthquake__modified-omori-law_c_parameter,earth_interior_earthquake,modified-omori-law_c_parameter,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__modified_omori_law_k_parameter,earth_interior_earthquake__modified-omori-law_k_parameter,earth_interior_earthquake,modified-omori-law_k_parameter,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__modified_omori_law_p_parameter,earth_interior_earthquake__modified-omori-law_p_parameter,earth_interior_earthquake,modified-omori-law_p_parameter,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__moment_magnitude,earth_interior_earthquake__moment-magnitude_scale,earth_interior_earthquake,moment-magnitude_scale,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__moment_tensor,earth_interior_earthquake__seismic_moment,earth_interior_earthquake,seismic_moment,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__north_component_of_slip-vector,earth_interior_earthquake__north_component_of_seismic_slip,earth_interior_earthquake,north_component_of_seismic_slip,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__origin_time,earth_interior_earthquake__origin_time,earth_interior_earthquake,origin_time,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__radiated_seismic_energy,earth_interior_earthquake__radiated_seismic_energy,earth_interior_earthquake,radiated_seismic_energy,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__release_energy,earth_interior_earthquake__release_energy,earth_interior_earthquake,release_energy,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__richter_magnitude,earth_interior_earthquake__richter-magnitude_scale,earth_interior_earthquake,richter-magnitude_scale,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__rupture_speed,earth_interior_earthquake_fault_plane_rupture__speed,earth_interior_earthquake_fault_plane_rupture,speed,((earth-has-part-interior)-contains-(earthquake-is-source-of-((fault-has-abstraction-plane)-undergoes-process-rupture)))
earth_interior_earthquake__seismic_moment_energy,earth_interior_earthquake__seismic_moment_energy,earth_interior_earthquake,seismic_moment_energy,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__slip_angle,earth_interior_earthquake__seismic_slip_angle,earth_interior_earthquake,seismic_slip_angle,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__slip_distance,earth_interior_earthquake__seismic_slip_distance,earth_interior_earthquake,seismic_slip_distance,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__slip_duration,earth_interior_earthquake__seismic_slip_duration,earth_interior_earthquake,seismic_slip_duration,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__slip_speed,earth_interior_earthquake__seismic_slip_speed,earth_interior_earthquake,seismic_slip_speed,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__south_east_component_of_moment_tensor,earth_interior_earthquake__south_east_component_of_seismic_moment,earth_interior_earthquake,south_east_component_of_seismic_moment,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__south_south_component_of_moment_tensor,earth_interior_earthquake__south_south_component_of_seismic_moment,earth_interior_earthquake,south_south_component_of_seismic_moment,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__up_south_component_of_moment_tensor,earth_interior_earthquake__up_south_component_of_seismic_moment,earth_interior_earthquake,up_south_component_of_seismic_moment,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__up_up_component_of_moment_tensor,earth_interior_earthquake__up_up_component_of_seismic_moment,earth_interior_earthquake,up_up_component_of_seismic_moment,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake_fault__length,earth_interior_earthquake_fault__length,earth_interior_earthquake_fault,length,((earth-has-part-interior)-contains-(earthquake-is-source-of-fault))
earth_interior_earthquake_fault_plane__dip_angle,earth_interior_earthquake_fault_plane__dip_angle,earth_interior_earthquake_fault_plane,dip_angle,((earth-has-part-interior)-contains-(earthquake-is-source-of-(fault-has-abstraction-plane)))
earth_interior_earthquake_fault_plane__length,earth_interior_earthquake_fault_plane__length,earth_interior_earthquake_fault_plane,length,((earth-has-part-interior)-contains-(earthquake-is-source-of-(fault-has-abstraction-plane)))
earth_interior_earthquake_fault_plane__rake_angle,earth_interior_earthquake_fault_plane__rake_angle,earth_interior_earthquake_fault_plane,rake_angle,((earth-has-part-interior)-contains-(earthquake-is-source-of-(fault-has-abstraction-plane)))
earth_interior_earthquake_fault_plane__rupture_area,earth_interior_earthquake_fault_plane_rupture__area,earth_interior_earthquake_fault_plane_rupture,area,((earth-has-part-interior)-contains-(earthquake-is-source-of-((fault-has-abstraction-plane)-undergoes-process-rupture)))
earth_interior_earthquake_fault_plane__rupture_length,earth_interior_earthquake_fault_plane_rupture__length,earth_interior_earthquake_fault_plane_rupture,length,((earth-has-part-interior)-contains-(earthquake-is-source-of-((fault-has-abstraction-plane)-undergoes-process-rupture)))
earth_interior_earthquake_fault_plane__rupture_time,earth_interior_earthquake_fault_plane_rupture__time,earth_interior_earthquake_fault_plane_rupture,time,((earth-has-part-interior)-contains-(earthquake-is-source-of-((fault-has-abstraction-plane)-undergoes-process-rupture)))
earth_interior_earthquake_fault_plane__rupture_width,earth_interior_earthquake_fault_plane_rupture__width,earth_interior_earthquake_fault_plane_rupture,width,((earth-has-part-interior)-contains-(earthquake-is-source-of-((fault-has-abstraction-plane)-undergoes-process-rupture)))
earth_interior_earthquake_fault_plane__slip-rake_angle,earth_interior_earthquake_fault_plane__seismic_slip-rake_angle,earth_interior_earthquake_fault_plane,seismic_slip-rake_angle,((earth-has-part-interior)-contains-(earthquake-is-source-of-(fault-has-abstraction-plane)))
earth_interior_earthquake_fault_plane__strike_angle,earth_interior_earthquake_fault_plane__strike_angle,earth_interior_earthquake_fault_plane,strike_angle,((earth-has-part-interior)-contains-(earthquake-is-source-of-(fault-has-abstraction-plane)))
earth_interior_earthquake_fault_plane__width,earth_interior_earthquake_fault_plane__width,earth_interior_earthquake_fault_plane,width,((earth-has-part-interior)-contains-(earthquake-is-source-of-(fault-has-abstraction-plane)))
earth_interior_earthquake_fault_plane_asperity__contact_area,earth_interior_earthquake_fault_plane_asperity__contact_area,earth_interior_earthquake_fault_plane_asperity,contact_area,((earth-has-part-interior)-contains-(earthquake-is-source-of-((fault-has-abstraction-plane)-contains-asperity)))
earth_interior_earthquake_hypocenter-to-station__distance,earth_interior_earthquake_hypocenter_seismic-station__distance,earth_interior_earthquake_hypocenter_seismic-station,distance,(((earth-has-part-interior)-contains-(earthquake-has-abstraction-hypocenter))-as-main-seismic-station-as-main)
earth_interior_earthquake_hypocenter__depth,earth_interior_earthquake_hypocenter__depth,earth_interior_earthquake_hypocenter,depth,((earth-has-part-interior)-contains-(earthquake-has-abstraction-hypocenter))
earth_interior_earthquake_hypocenter__latitude,earth_interior_earthquake_hypocenter__latitude,earth_interior_earthquake_hypocenter,latitude,((earth-has-part-interior)-contains-(earthquake-has-abstraction-hypocenter))
earth_interior_earthquake_hypocenter__longitude,earth_interior_earthquake_hypocenter__longitude,earth_interior_earthquake_hypocenter,longitude,((earth-has-part-interior)-contains-(earthquake-has-abstraction-hypocenter))
earth_interior_earthquake_wave~p__amplitude,earth_interior_earthquake_p-seismic-wave__amplitude,earth_interior_earthquake_p-seismic-wave,amplitude,((earth-has-part-interior)-contains-(earthquake-is-source-of-p-seismic-wave))
earth_interior_earthquake_wave~p__angular_frequency,earth_interior_earthquake_p-seismic-wave__angular_frequency,earth_interior_earthquake_p-seismic-wave,angular_frequency,((earth-has-part-interior)-contains-(earthquake-is-source-of-p-seismic-wave))
earth_interior_earthquake_wave~p__angular_wavenumber,earth_interior_earthquake_p-seismic-wave__angular_wavenumber,earth_interior_earthquake_p-seismic-wave,angular_wavenumber,((earth-has-part-interior)-contains-(earthquake-is-source-of-p-seismic-wave))
earth_interior_earthquake_wave~p__frequency,earth_interior_earthquake_p-seismic-wave__frequency,earth_interior_earthquake_p-seismic-wave,frequency,((earth-has-part-interior)-contains-(earthquake-is-source-of-p-seismic-wave))
earth_interior_earthquake_wave~p__period,earth_interior_earthquake_p-seismic-wave__period,earth_interior_earthquake_p-seismic-wave,period,((earth-has-part-interior)-contains-(earthquake-is-source-of-p-seismic-wave))
earth_interior_earthquake_wave~p__speed,earth_interior_earthquake_p-seismic-wave__speed,earth_interior_earthquake_p-seismic-wave,speed,((earth-has-part-interior)-contains-(earthquake-is-source-of-p-seismic-wave))
earth_interior_earthquake_wave~p__takeoff_angle,earth_interior_earthquake_p-seismic-wave_takeoff__angle,earth_interior_earthquake_p-seismic-wave_takeoff,angle,((earth-has-part-interior)-contains-(earthquake-is-source-of-(p-seismic-wave-undergoes-process-takeoff)))
earth_interior_earthquake_wave~p__wavelength,earth_interior_earthquake_p-seismic-wave__wavelength,earth_interior_earthquake_p-seismic-wave,wavelength,((earth-has-part-interior)-contains-(earthquake-is-source-of-p-seismic-wave))
