encoded_name,label_name,has-source-phenomenon,has-primary-participant-phenomenon,has-containing-phenomenon,is-modeled-by,undergoes-process,has-in-participant-phenomenon,has-medium-participant-phenomenon,has-sink-participant-phenomenon,has-source-participant-phenomenon,has-abstraction,has-phenomenon,has-part,has-location,is-observed-by,has-form,measured-below,has-matter,is-part-of-containing-phenomenon,has-denominator-participant-phenomenon,has-numerator-participant-phenomenon,is-expressed-as,has-containing-medium-phenomenon,has-trajectory,measured-at,has-adjacent-participant-phenomenon,measured-above,drives,has-primary-participant-phenomenon2,has-role,has-participating-primary-phenomenon,has-perspective-participant-phenomenon,surrounds,measured-wrt,contains-matter,has-sink-phenomenon,referenced-with-property,reference-for-computing,orbits-around,has-first-participant-phenomenon,has-second-participant-phenomenon,has-model-location,has-domain,has-location-of-origin,has-subtrahend-participant-phenomenon,has-minuend-participant-phenomenon,has-primary-matter,measured-to,measured-from,participates-in,has-participating-medium-phenomenon,undergoes-process2,has-part2,measured-since,measured-along,has-phenomenon2,has-matter2,has-role2,has-process,has-process2,has-form2
channel-contains-(water-as-medium-(sediment~bedload~immersed-has-form-grain)),channel_water_sediment~bedload~immersed_grain,,water-as-medium-(sediment~bedload~immersed-has-form-grain),channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-as-medium-(sediment~bedload~immersed-has-form-grain),water_sediment~bedload~immersed_grain,,sediment~bedload~immersed-has-form-grain,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sediment~bedload~immersed-has-form-grain,sediment~bedload~immersed_grain,,,,,,,,,,,,,,,,,sediment~bedload~immersed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-(water-as-medium-sediment~suspended),channel_water_sediment~suspended,,water-as-medium-sediment~suspended,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-as-medium-sediment~suspended,water_sediment~suspended,,sediment~suspended,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-(water-contains-(sediment~suspended-undergoes-process-flowing)),channel_water_sediment~suspended_flowing,,water-contains-(sediment~suspended-undergoes-process-flowing),channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-contains-(sediment~suspended-undergoes-process-flowing),water_sediment~suspended_flowing,,sediment~suspended-undergoes-process-flowing,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sediment~suspended-undergoes-process-flowing,sediment~suspended_flowing,,sediment~suspended,,,flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-(water-contains-(sediment-undergoes-process-flowing)),channel_water_sediment_flowing,,water-contains-(sediment-undergoes-process-flowing),channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-contains-(sediment-undergoes-process-flowing),water_sediment_flowing,,sediment-undergoes-process-flowing,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sediment-undergoes-process-flowing,sediment_flowing,,sediment,,,flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-(water-as-medium-sediment~washload),channel_water_sediment~washload,,water-as-medium-sediment~washload,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-as-medium-sediment~washload,water_sediment~washload,,sediment~washload,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-(water-contains-(sediment~washload-undergoes-process-flowing)),channel_water_sediment~washload_flowing,,water-contains-(sediment~washload-undergoes-process-flowing),channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-contains-(sediment~washload-undergoes-process-flowing),water_sediment~washload_flowing,,sediment~washload-undergoes-process-flowing,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sediment~washload-undergoes-process-flowing,sediment~washload_flowing,,sediment~washload,,,flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-(water-has-abstraction-surface),channel_water_surface,,water-has-abstraction-surface,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-has-abstraction-surface,water_surface,,,,,,,,,,surface,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(channel-contains-(water-has-abstraction-surface))-is-location-of-air,channel_water_surface_air,,air,,,,,,,,,,,channel-contains-(water-has-abstraction-surface),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-((water-has-abstraction-surface)-contains-water),channel_water_surface_water,,(water-has-abstraction-surface)-contains-water,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(water-has-abstraction-surface)-contains-water,water_surface_water,,water,water-has-abstraction-surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-(water-has-abstraction-x-section),channel_water_x-section,,water-has-abstraction-x-section,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-(water-undergoes-process-flowing-has-abstraction-x-section),channel_water_flowing_x-section,,water-undergoes-process-flowing-has-abstraction-x-section,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-(water-has-abstraction-x-section-has-part-top),channel_water_x-section_top,,water-has-abstraction-x-section-has-part-top,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-weir,channel_weir,,weir,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-has-abstraction-x-section,channel_x-section,,,,,,,,,,x-section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(channel-has-abstraction-x-section)-has-abstraction-parabola,channel_x-section_parabola,,,,,,,,,,parabola,channel-has-abstraction-x-section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
