entity_label,entity_class,plural,tagged_variables
acid-neutralizing_mass-per-time_capacity,property,,
acid-neutralizing_mass-per-volume_capacity,property,,
acidification,process,,
acidity,property,,
acifluorfen,matter,,
acoustic,attribute,,
acoustic_impedance,property,,
acoustic-wave,phenomenon,,"human_acoustic-wave_hearing__lower_limit_of_frequency, human_acoustic-wave_hearing__upper_limit_of_frequency"
acquisition,process,,
acridine,matter,,
acrolein,matter,,
acrylamide,matter,,
acrylonitrile,matter,,
actinium,matter,,
actinium-228,matter,,
actinobdella,attribute,,
actinomycetes,attribute,,
action,process,,
activation,process,,
activation_energy,property,,
active-layer,phenomenon,,"soil_active-layer__porosity, soil_active-layer~saturated__thickness, soil_active-layer__thickness"
activity,property,,
activity_coefficient,property,,
activity_ratio,property,,
activity-per-mass_radioactivity,property,,
activity-per-volume_radioactivity,property,,
actual,attribute,,
actual_angle,property,,water_molecule_bond-h-o-h__actual_angle
actuation,process,,
adaptation,process,,
addition,process,,"soil_carbon_pool~microbial-and-stabilized_carbon~decomposed_addition__mass_rate, crop_residue_pool_root-and-rhizodeposit_biomass_addition__one-year_time_integral_of_mass_flux, above-ground_soil_residue_pool_crop_residue_addition__mass-per-area_density, soil_pool-and-pool~microbial_carbon~decomposed_addition__mass"
adenophorea,attribute,,
adenosine-triphosphate,matter,,
adequacy,property,,
adhesion,process,,
adiabatic,attribute,,
adiabatic-process,process,,"atmosphere_air~dry_adiabatic-process__temperature_lapse_rate, atmosphere_air~saturated_adiabatic-process__temperature_lapse_rate"
adicrophleps,attribute,,
adjustment,process,,
adoption,process,,
adsorption,process,,
advance,process,,glacier-terminus_advance__length-per-time_rate
advection,process,,atmosphere_bottom_air_advection__heat_energy_flux
aedes,attribute,,
aeolosoma,attribute,,
aeolosomatidae,attribute,,
aeration,process,,
aerodynamic_conductance,property,,
aerodynamic_resistance,property,,
aerologation,process,,
aerosol,form,,"atmosphere_dust~aerosol__reduction_of_transmittance, atmosphere_aerosol_radiation~incoming~shortwave~absorbed__energy_flux, atmosphere_aerosol_radiation~incoming~shortwave_absorption__absorptance, atmosphere_aerosol_radiation~incoming~shortwave_reflection__reflectance, atmosphere_aerosol_radiation~incoming~shortwave~reflected__energy_flux, atmosphere_aerosol_radiation~incoming~shortwave_transmission__transmittance, atmosphere_aerosol_radiation~incoming~shortwave~transmitted__energy_flux, atmosphere_aerosol_radiation~outgoing~longwave_emission__emittance, atmosphere_aerosol_radiation~outgoing~longwave~downward__energy_flux, atmosphere_aerosol_radiation~outgoing~longwave~upward__energy_flux, atmosphere_air_column_aerosol~dry_ammonium__mass-per-area_density"
affinity,property,,
agapetus,attribute,,
agarodes,attribute,,
agathon,attribute,,
age,property,,"sea_bottom_sediment_deposition__age, sea_ice__age, snowpack__age"
aggradation,process,,
aggregation,process,,
aging,process,,
agraylea,attribute,,
agricultural,attribute,,constituent-state_land~agricultural__area_fraction
agrypnia,attribute,,
