original_name,variable_name,object_name,quantity_name,phenomena,processes,matter,roles,forms,properties,operations,propertytypes,propertyroles,propertyquantifications,trajectories,domains,attributes,abstractions,models,directions,parts,reference,object_pattern,quantity_pattern
channel~river_water__stage_height,river_channel_water__stage_height,river_channel_water,stage_height,river,,water,,channel,stage_height,,,,,,,,,,,,,PHENOMENON_FORM_MATTER,PROPERTY
channel~stream_reach_water~incoming__lateral_volume_flux,stream_channel_reach_water~incoming__lateral_component_of_volume_flux,stream_channel_reach_water~incoming,lateral_component_of_volume_flux,"stream, reach",,water,,channel,volume_flux,lateral_component,,,,,,,,,incoming,,,PHENOMENON_FORM_PHENOMENON_MATTER~DIRECTION,OPERATION_of_PROPERTY
channel~stream_reach_water~outgoing__lateral_volume_flux,stream_channel_reach_water~outgoing__lateral_component_of_volume_flux,stream_channel_reach_water~outgoing,lateral_component_of_volume_flux,"stream, reach",,water,,channel,volume_flux,lateral_component,,,,,,,,,outgoing,,,PHENOMENON_FORM_PHENOMENON_MATTER~DIRECTION,OPERATION_of_PROPERTY
groundwater__head,groundwater__head,groundwater,head,groundwater,,,,,,,,,,,,,,,,,,PHENOMENON,head
land_subsurface_aquifer~left_channel~river_bed_water__volume_flux,land_subsurface_aquifer~left_river_channel_bed_water__volume_flux,land_subsurface_aquifer~left_river_channel_bed_water,volume_flux,"aquifer, river, land",,water,,channel,volume_flux,,,,,,,left,,,,"subsurface, bed",,PHENOMENON_PART_PHENOMENON~ATTRIBUTE_PHENOMENON_FORM_PART_MATTER,PROPERTY
land_subsurface_aquifer~right_channel~river_bed_water__volume_flux,land_subsurface_aquifer~right_river_channel_bed_water__volume_flux,land_subsurface_aquifer~right_river_channel_bed_water,volume_flux,"aquifer, river, land",,water,,channel,volume_flux,,,,,,,right,,,,"subsurface, bed",,PHENOMENON_PART_PHENOMENON~ATTRIBUTE_PHENOMENON_FORM_PART_MATTER,PROPERTY
land_surface_snow__time_integral_of_accumulation_volume_flux,land_surface_snow_accumulation__time_integral_of_volume_flux,land_surface_snow_accumulation,time_integral_of_volume_flux,land,accumulation,snow,,,volume_flux,time_integral,,,,,,,surface,,,,,PHENOMENON_ABSTRACTION_MATTER_PROCESS,OPERATION_of_PROPERTY
land_surface_terrain~left_channel~stream_reach_water__volume_flux,land_surface_terrain~left_stream_channel_reach_water__volume_flux,land_surface_terrain~left_stream_channel_reach_water,volume_flux,"stream, reach, land",,water,,"channel, terrain",volume_flux,,,,,,,left,surface,,,,,PHENOMENON_ABSTRACTION_FORM~ATTRIBUTE_PHENOMENON_FORM_PHENOMENON_MATTER,PROPERTY
land_surface_terrain~right_channel~stream_reach_water__volume_flux,land_surface_terrain~right_stream_channel_reach_water__volume_flux,land_surface_terrain~right_stream_channel_reach_water,volume_flux,"stream, reach, land",,water,,"channel, terrain",volume_flux,,,,,,,right,surface,,,,,PHENOMENON_ABSTRACTION_FORM~ATTRIBUTE_PHENOMENON_FORM_PHENOMENON_MATTER,PROPERTY
land_vegetation_canopy_water__evaporation_volume_flux,land_vegetation_canopy_water_evaporation__volume_flux,land_vegetation_canopy_water_evaporation,volume_flux,"vegetation, canopy, land","evaporation, vegetation",water,,,volume_flux,,,,,,,,,,,,,PHENOMENON_PHENOMENON_PHENOMENON_MATTER_PROCESS,PROPERTY
soil_water__volume-per-area_concentration,soil_water__volume-per-area_concentration,soil_water,volume-per-area_concentration,,,"water, soil",,,volume-per-area_concentration,,,,,,,,,,,,,MATTER_MATTER,PROPERTY
soil_water__volume-per-area_interception_storage_capacity,soil_water_interception__volume-per-area_storage_capacity,soil_water_interception,volume-per-area_storage_capacity,,interception,"water, soil",,,volume-per-area_storage_capacity,,,,,,,,,,,,,MATTER_MATTER_PROCESS,PROPERTY
air__dielectric_constant,air__relative_permittivity,air,relative_permittivity,air,,,,,,,,,,,,,,,,,,PHENOMENON,relative_permittivity
air__dynamic_shear_viscosity,air__shear_dynamic_viscosity,air,shear_dynamic_viscosity,air,,,,,,,,,,,,,,,,,,PHENOMENON,shear_dynamic_viscosity
air__dynamic_volume_viscosity,air__volume_dynamic_viscosity,air,volume_dynamic_viscosity,air,,,,,,,,,,,,,,,,,,PHENOMENON,volume_dynamic_viscosity
air__kinematic_shear_viscosity,air__shear_kinematic_viscosity,air,shear_kinematic_viscosity,air,,,,,,,,,,,,,,,,,,PHENOMENON,shear_kinematic_viscosity
air__kinematic_volume_viscosity,air__volume_kinematic_viscosity,air,volume_kinematic_viscosity,air,,,,,,,,,,,,,,,,,,PHENOMENON,volume_kinematic_viscosity
air__volume-specific_isochoric_heat_capacity,air_isochoric-process__volume-specific_heat_capacity,air_isochoric-process,volume-specific_heat_capacity,,isochoric-process,air,,,volume-specific_heat_capacity,,,,,,,,,,,,,MATTER_PROCESS,PROPERTY
air_helium-plume__richardson_number,air_helium_plume__richardson_number,air_helium_plume,richardson_number,,,"helium, air",,plume,richardson_number,,,,,,,,,,,,,MATTER_MATTER_FORM,PROPERTY
air_radiation~visible__speed,air_radiation~visible__speed,air_radiation~visible,speed,radiation,radiation,air,,,speed,,,,,,,visible,,,,,,MATTER_PHENOMENON~ATTRIBUTE,PROPERTY
air_water~vapor__dew_point_temperature,air_water~vapor~dew-point__temperature,air_water~vapor~dew-point,temperature,,,"water, air",,vapor,temperature,,,,,,,dew-point,,,,,,MATTER_MATTER~FORM~ATTRIBUTE,PROPERTY
air_water~vapor__saturated_partial_pressure,air~saturated_water~vapor__partial_pressure,air~saturated_water~vapor,partial_pressure,,,"water, air",,vapor,partial_pressure,,,,,,,saturated,,,,,,MATTER~ATTRIBUTE_MATTER~FORM,PROPERTY
aircraft__flight_duration,aircraft_flight__duration,aircraft_flight,duration,aircraft,flight,,,,duration,,,,,,,,,,,,,PHENOMENON_PROCESS,PROPERTY
airfoil__drag_coefficient,airfoil__drag_coefficient,airfoil,drag_coefficient,airfoil,,,,,,,,,,,,,,,,,,PHENOMENON,drag_coefficient
airfoil__lift_coefficient,airfoil__lift_coefficient,airfoil,lift_coefficient,airfoil,,,,,,,,,,,,,,,,,,PHENOMENON,lift_coefficient
airfoil_curve~enclosing__circulation,airfoil_enclosing-curve__circulation,airfoil_enclosing-curve,circulation,,,,,,circulation,,,,,,,,"enclosing-curve, airfoil",,,,,ABSTRACTION_ABSTRACTION,PROPERTY
airplane__altitude,airplane__altitude,airplane,altitude,airplane,,,,,,,,,,,,,,,,,,PHENOMENON,altitude
airplane__mach_number,airplane__mach_number,airplane,mach_number,airplane,,,,,,,,,,,,,,,,,,PHENOMENON,mach_number
airplane_wing__span,airplane__wingspan,airplane,wingspan,airplane,,,,,,,,,,,,,,,,,,PHENOMENON,wingspan
air~dry__mass-specific_gas_constant,air~dry__mass-specific_gas_constant,air~dry,mass-specific_gas_constant,,,air,,,mass-specific_gas_constant,,,,,,,dry,,,,,,MATTER~ATTRIBUTE,PROPERTY
air~dry_water~vapor__gas_constant_ratio,air~dry_water~vapor__gas_constant_ratio,air~dry_water~vapor,gas_constant_ratio,,,"water, air",,vapor,gas_constant_ratio,,,,,,,dry,,,,,,MATTER~ATTRIBUTE_MATTER~FORM,PROPERTY
aluminum__mass-specific_isobaric_heat_capacity,aluminum_isobaric-process__mass-specific_heat_capacity,aluminum_isobaric-process,mass-specific_heat_capacity,,isobaric-process,aluminum,,,mass-specific_heat_capacity,,,,,,,,,,,,,MATTER_PROCESS,PROPERTY
anvil__isobaric_heat_capacity,anvil_isobaric-process__heat_capacity,anvil_isobaric-process,heat_capacity,anvil,isobaric-process,,,,heat_capacity,,,,,,,,,,,,,PHENOMENON_PROCESS,PROPERTY
appliance~electric__voltage,electric-appliance__voltage,electric-appliance,voltage,electric-appliance,,,,,,,,,,,,,,,,,,PHENOMENON,voltage
atmosphere_aerosol_dust__reduction_of_transmittance,atmosphere_aerosol_dust__reduction_of_transmittance,atmosphere_aerosol_dust,reduction_of_transmittance,"atmosphere, dust",,,,aerosol,transmittance,reduction,,,,,,,,,,,,PHENOMENON_FORM_PHENOMENON,OPERATION_of_PROPERTY
atmosphere_aerosol_radiation~incoming~shortwave__absorbed_energy_flux,atmosphere_aerosol_radiation~incoming~shortwave~absorbed__energy_flux,atmosphere_aerosol_radiation~incoming~shortwave~absorbed,energy_flux,"atmosphere, radiation",radiation,,,aerosol,energy_flux,,,,,,,"shortwave, absorbed",,,incoming,,,PHENOMENON_FORM_PHENOMENON~DIRECTION~ATTRIBUTE~ATTRIBUTE,PROPERTY
atmosphere_aerosol_radiation~incoming~shortwave__absorptance,atmosphere_aerosol_radiation~incoming~shortwave_absorption__absorptance,atmosphere_aerosol_radiation~incoming~shortwave_absorption,absorptance,"atmosphere, radiation","absorption, radiation",,,aerosol,absorptance,,,,,,,shortwave,,,incoming,,,PHENOMENON_FORM_PHENOMENON~DIRECTION~ATTRIBUTE_PROCESS,PROPERTY
atmosphere_aerosol_radiation~incoming~shortwave__reflectance,atmosphere_aerosol_radiation~incoming~shortwave_reflection__reflectance,atmosphere_aerosol_radiation~incoming~shortwave_reflection,reflectance,"atmosphere, radiation","reflection, radiation",,,aerosol,reflectance,,,,,,,shortwave,,,incoming,,,PHENOMENON_FORM_PHENOMENON~DIRECTION~ATTRIBUTE_PROCESS,PROPERTY
atmosphere_aerosol_radiation~incoming~shortwave__reflected_energy_flux,atmosphere_aerosol_radiation~incoming~shortwave~reflected__energy_flux,atmosphere_aerosol_radiation~incoming~shortwave~reflected,energy_flux,"atmosphere, radiation",radiation,,,aerosol,energy_flux,,,,,,,"reflected, shortwave",,,incoming,,,PHENOMENON_FORM_PHENOMENON~DIRECTION~ATTRIBUTE~ATTRIBUTE,PROPERTY
atmosphere_aerosol_radiation~incoming~shortwave__transmittance,atmosphere_aerosol_radiation~incoming~shortwave_transmission__transmittance,atmosphere_aerosol_radiation~incoming~shortwave_transmission,transmittance,"atmosphere, radiation","transmission, radiation",,,aerosol,transmittance,,,,,,,shortwave,,,incoming,,,PHENOMENON_FORM_PHENOMENON~DIRECTION~ATTRIBUTE_PROCESS,PROPERTY
