attribute_id,attribute_label,noun,matter_id,property_id,value,synonym,plural_of,wikipedia_page
snow,snow,noun,water,phase,,,,http://en.wikipedia.org/wiki/Snow
snow-covered,snow-covered,,,coverage,,,,
solar,solar,,,,,,,
solid,solid,noun,,phase,solid,,,https://en.wikipedia.org/wiki/Solid
solids,solids,noun,,phase,,,solid,
soluble,soluble,,,solubility,,,,https://en.wikipedia.org/wiki/Solubility
sorbent,sorbent,,,,,,,
spatial,spatial,,,,,,,
spherical,spherical,,,,,,,
standard,standard,,,,,,,
static,static,,,,,,,
stellar,stellar,,,,,,,
storage,storage,,,,,,,
stratiform,stratiform,,,,,,,
subaerial,subaerial,,,,,,,https://en.wikipedia.org/wiki/Subaerial
subaqueous,subaqueous,,,,,,,https://en.wiktionary.org/wiki/subaqueous
sunlit,sunlit,,,,,,,
supersaturated,supersaturated,,,saturation,,,,
suspended,suspended,,,,,,,https://en.wikipedia.org/wiki/Suspension_(chemistry)
tagged,tagged,,,,,,,
terminal,terminal,,,,,,,
terrestrial,terrestrial,,,,,,,
thermal,thermal,,,,,,,
tidal,tidal,,,,,,,
topset,topset,,,,,,,
transmitted,transmitted,,,,,,,
transphilic,transphilic,,,,,,,
tropical,tropical,,,,,,,
turbulent,turbulent,,,,,,,
u,u,,,,,,,
undersaturated,undersaturated,,,saturation,,,,
unfrozen,unfrozen,,,,,,,https://en.wikipedia.org/wiki/Freezing
unionized,unionized,,,ionization,,,,
unique,unique,,,,,,,
up,up,,,,,,,
upper,upper,,,,,,,https://en.wiktionary.org/wiki/upper#Adjective
upstream,upstream,,,direction,,,,
urban,urban,,,,,,,https://en.wiktionary.org/wiki/urban#Adjective
uv,uv,,,wavelength,,ultraviolet,,
v,v,,,,,,,
vapor,vapor,noun,,phase,vapor,,,https://en.wikipedia.org/wiki/Vapor
vegetated,vegetated,,,,,,,https://en.wiktionary.org/wiki/vegetated
vertical,vertical,,,orientation,,,,
virtual,virtual,,,,,,,
visible,visible,,,wavelength,,,,
visual,visual,,,,,,,
volcanic,volcanic,,,,,,,
washload,washload,,,,,,,
water-covered,water-covered,,,coverage,,,,
waxed,waxed,,,,,,,
wet,wet,,,wetness,,,,https://en.wikipedia.org/wiki/Wet
wetted,wetted,,,wetness,,,,
white-sky,white-sky,,,,,,,
whole,whole,,,,,,,
x,x,noun,,,,,,
y,y,noun,,,,,,
yearly,yearly,,,,,,,
z,z,noun,,,,,,
