phenomenon_taxonomic,phenomenon_id,phenomenon_label,phenomenon,attribute,part,abstraction,expressed-as,matter,form,role,body,process,trajectory,trajectory_direction,synonym,plural_of,wikipedia_page
,jupiter_setting,jupiter,,,,,,,,,jupiter,setting,,,,,
,lake_surface,lake_surface,,,,surface,,,,,lake,,,,,,
,land_allocation,land,,,,,,,,,land,allocation,,,,,
,land_soil~dry_surface,land_soil~dry_surface,,,,surface,,soil~dry,,,land,,,,,,
,land_surface,land_surface,,,,surface,,,,,land,,,,,,
,land_surface_base-level,land_surface_base-level,land_surface,base-level,,,,,,,,,,,,,
,land_surface_contour,land_surface_contour,land_surface,,,contour,,,,,,,,,,,
,land_surface_contour_segment,land_surface_contour_segment,land_surface_contour,,segment,,,,,,,,,,,,
,land_surface_plan,land_surface_plan,land_surface,,,plan,,,,,,,,,,,
,land_surface_polygon,land_surface_polygon,land_surface,,,polygon,,,,,,,,,,,
,land_surface_profile,land_surface_profile,land_surface,,,profile,,,,,,,,,,,
,land_surface_streamline,land_surface_streamline,land_surface,,,streamline,,,,,,,,,,,
,land_surface_transect,land_surface_transect,land_surface,,,,,,,,,,transect,,,,
,land_surface~horizontal,land_surface~horizontal,,,,surface~horizontal,,,,,land,,,,,,
,land_tillage,land_tillage,,,,,,,,,land,tillage,,,,,
,macropores_x-section~vertical,macropores_x-section~vertical,,,,x-section~vertical,,,macropores,,,,,,,,
,macropores_x-section~horizontal,macropores_x-section~horizontal,,,,x-section~horizontal,,,macropores,,,,,,,,
,mars_axis,mars_axis,,,,axis,,,,,mars,,,,,,
,mars_ellipsoid,mars_ellipsoid,,,,ellipsoid,,,,,mars,,,,,,
,mars_orbit,mars,,,,,,,,,mars,,orbit,,,,
,mars_rising,mars,,,,,,,,,mars,rising,,,,,
,mars_setting,mars,,,,,,,,,mars,setting,,,,,
,mars_surface,mars_surface,,,,surface,,,,,mars,,,,,,
,mars_surface_viewpoint,mars_surface_viewpoint,mars_surface,,,viewpoint,,,,,,,,,,,
,material_flowing,material_flow,,,,,,material,,,,flowing,,,,,
,material_isobaric-process,material,,,,,,material,,,,isobaric-process,,,,,
,material_isochoric-process,material,,,,,,material,,,,isochoric-process,,,,,
,material_isothermal-process,material,,,,,,material,,,,isothermal-process,,,,,
,material~mohr-coulomb-plastic,material~mohr-coulomb-plastic,,,,mohr-coulomb-plastic,,material,,,,,,,,,
,mercury_axis,mercury_axis,,,,axis,,,,,mercury,,,,,,
,mercury_axis_precession,mercury_axis,mercury_axis,,,,,,,,,precession,,,,,
,mercury_rising,mercury,,,,,,,,,mercury,rising,,,,,
,mercury_setting,mercury,,,,,,,,,mercury,setting,,,,,
,moon_rising,moon,,,,,,,,,moon,rising,,,,,
,moon_setting,moon,,,,,,,,,moon,setting,,,,,
,neptune_rising,neptune,,,,,,,,,neptune,rising,,,,,
,neptune_setting,neptune,,,,,,,,,neptune,setting,,,,,
,nitrate_leaching,nitrate,,,,,,nitrate,,,,leaching,,,,,
,nitrate-as-nitrogen_denitrification,nitrate-as-nitrogen,,,,,,nitrate-as-nitrogen,,,,denitrification,,,,,
,nitrate-as-nitrogen_leaching,nitrate-as-nitrogen,,,,,,nitrate-as-nitrogen,,,,leaching,,,,,
,nitrogen_accumulation,nitrogen,,,,,,nitrogen,,,,accumulation,,,,,
,nitrogen_application,nitrogen,,,,,,nitrogen,,,,application,,,,,
,nitrogen_mineralization,nitrogen,,,,,,nitrogen,,,,mineralization,,,,,
,nitrogen_immobilization,nitrogen,,,,,,nitrogen,,,,immobilization,,,,,
,orbit_aphelion,orbit_aphelion,,,,aphelion,,,,,,,orbit,,,,
,orbit_perihelion,orbit_perihelion,,,,perihelion,,,,,,,orbit,,,,
,outlet_center,outlet_center,,,,center,,,,outlet,,,,,,,
,outlet_side~left,outlet_side~left,,,side~left,,,,,outlet,,,,,,,
,outlet_side~right,outlet_side~right,,,side~right,,,,,outlet,,,,,,,
,outlet_top,outlet_top,,,top,,,,,outlet,,,,,,,
,outlet_x-section,outlet_x-section,,,,x-section,,,,outlet,,,,,,,
,particle_motion,particle_motion,,,,,,,particle,,,motion,,,,,
,particle_motion_acceleration,particle_motion,,,,,,,particle,,,"motion, acceleration",,,,,
