phenomenon_id,participant1,participant1cat,participant1cattype,participant1class,participant2,participant2cat,participant2cattype,participant2class,participant3,participant3cat,participant3cattype,participant3class,participant4,participant4cat,participant4cattype,participant4class,participant5,participant5cat,participant5cattype,participant5class
water@medium_immersed_(sediment~bedload_grain),water,medium,,"matter, ",immersed,,,"attribute, ",sediment~bedload_grain,,,"body, ",,,,,,,,
water@medium_magnesium-chloride,water,medium,,"matter, ",magnesium-chloride,,,"matter, ",,,,,,,,,,,,
water@medium_magnesium-sulfate,water,medium,,"matter, ",magnesium-sulfate,,,"matter, ",,,,,,,,,,,,
water@medium_oxygen,water,medium,,"matter, ",oxygen,,,"matter, ",,,,,,,,,,,,
water@medium_potassium-chloride,water,medium,,"matter, ",potassium-chloride,,,"matter, ",,,,,,,,,,,,
water@medium_sediment,water,medium,,"matter, ",sediment,,,"matter, ",,,,,,,,,,,,
water@medium_sediment~suspended,water,medium,,"matter, ",sediment~suspended,,,"matter, ",,,,,,,,,,,,
water@medium_sediment~washload,water,medium,,"matter, ",sediment~washload,,,"matter, ",,,,,,,,,,,,
water@medium_settling_(sediment_grain),water,medium,,"matter, ",settling,,,"process, ",sediment_grain,,,"body, ",,,,,,,,
water@medium_sodium-chloride,water,medium,,"matter, ",sodium-chloride,,,"matter, ",,,,,,,,,,,,
water~liquid@medium_carbon~dissolved~inorganic,water~liquid,medium,,"matter, ",carbon~dissolved~inorganic,,,"matter, ",,,,,,,,,,,,
water~liquid@medium_carbon~dissolved~organic,water~liquid,medium,,"matter, ",carbon~dissolved~organic,,,"matter, ",,,,,,,,,,,,
water~liquid@medium_oxygen~dissolved~molecular,water~liquid,medium,,"matter, ",oxygen~dissolved~molecular,,,"matter, ",,,,,,,,,,,,
