matter_taxonomic,matter_id,matter_label,attribute,synonym,plural_of,wikipedia_page
compound,"2,3,6-trimethylnaphthalene","2,3,6-trimethylnaphthalene",,,,
compound,"2,3,7,8-tetrachlorodibenzo-p-dioxin","2,3,7,8-tetrachlorodibenzo-p-dioxin",,"2,3,7,8-tetrachlorodibenzodioxin",,"https://en.wikipedia.org/wiki/2,3,7,8-Tetrachlorodibenzodioxin"
compound,"2,3,7,8-tetrachlorodibenzofuran","2,3,7,8-tetrachlorodibenzofuran",,,,
compound,"2,4-d","2,4-d",,"2,4-dichlorophenoxyacetic-acid",,"https://en.wikipedia.org/wiki/2,4-Dichlorophenoxyacetic_acid"
compound,"2,4-d-methyl-ester","2,4-d-methyl-ester",,,,
compound,"2,4-db","2,4-db",,,,"https://en.wikipedia.org/wiki/2,4-DB"
compound,"2,4-di-tert-pentylphenol","2,4-di-tert-pentylphenol",,"phenol,-2,4-bis(1,1-dimethylpropyl)-",,
compound,"2,4-dichlorophenol","2,4-dichlorophenol",,,,"https://en.wikipedia.org/wiki/2,4-Dichlorophenol"
compound,"2,4-dihydroxybenzophenone","2,4-dihydroxybenzophenone",,"methanone,-(2,4-dihydroxyphenyl)phenyl-",,
compound,"2,4-dimethylpentane","2,4-dimethylpentane",,"pentane,-2,4-dimethyl-",,"https://en.wikipedia.org/wiki/2,4-Dimethylpentane"
compound,"2,4-dimethylphenol","2,4-dimethylphenol",,,,
compound,"2,4-dinitrophenol","2,4-dinitrophenol",,,,"https://en.wikipedia.org/wiki/2,4-Dinitrophenol"
compound,"2,4-dinitrotoluene","2,4-dinitrotoluene",,,,"https://en.wikipedia.org/wiki/2,4-Dinitrotoluene"
compound,"2,4,5-t","2,4,5-t",,"2,4,5-trichlorophenoxyacetic-acid",,"https://en.wikipedia.org/wiki/2,4,5-Trichlorophenoxyacetic_acid"
compound,"2,4,5-trichlorophenol","2,4,5-trichlorophenol",,,,
compound,"2,4,6-trichlorophenol","2,4,6-trichlorophenol",,,,"https://en.wikipedia.org/wiki/2,4,6-Trichlorophenol"
compound,"2,4,6-trimethylphenol","2,4,6-trimethylphenol",,,,
compound,"2,5-dichloroaniline","2,5-dichloroaniline",,,,"https://en.wikipedia.org/wiki/2,5-Dichloroaniline"
compound,"2,6-di-tert-butyl-4-methylphenol","2,6-di-tert-butyl-4-methylphenol",,"2,6-di-tert-butyl-p-cresol",,"https://en.wikipedia.org/wiki/2,6-Di-tert-butyl-4-methylphenol"
compound,"2,6-di-tert-butylphenol","2,6-di-tert-butylphenol",,,,"https://en.wikipedia.org/wiki/2,6-Di-tert-butylphenol"
compound,"2,6-dichlorobenzamide","2,6-dichlorobenzamide",,,,
compound,"2,6-dichlorophenol","2,6-dichlorophenol",,,,"https://en.wikipedia.org/wiki/2,6-Dichlorophenol"
compound,"2,6-diethylaniline","2,6-diethylaniline",,,,
compound,"2,6-dimethylnaphthalene","2,6-dimethylnaphthalene",,,,"https://en.wikipedia.org/wiki/2,6-Dimethylnaphthalene"
compound,"2,6-dinitrotoluene","2,6-dinitrotoluene",,,,"https://en.wikipedia.org/wiki/2,6-Dinitrotoluene"
compound,"3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane-1-carboxylic-acid","3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane-1-carboxylic-acid",,,,
compound,3-(trifluoromethyl)aniline,3-(trifluoromethyl)aniline,,m-(trifluoromethyl)aniline,,https://en.wikipedia.org/wiki/3-(Trifluoromethyl)aniline
compound,3-(trifluoromethyl)phenylurea,3-(trifluoromethyl)phenylurea,,"urea,-[3-(trifluoromethyl)phenyl]-",,
compound,3-beta-coprostanol,3-beta-coprostanol,,"cholestan-3-ol,-(3.beta.,5.beta.)-",,
compound,3-chloropropene,3-chloropropene,,allyl-chloride,,https://en.wikipedia.org/wiki/Allyl_chloride
compound,3-chlorotoluene,3-chlorotoluene,,m-chlorotoluene,,https://en.wikipedia.org/wiki/3-Chlorotoluene
compound,3-ethylphenol,3-ethylphenol,,m-ethylphenol,,https://en.wikipedia.org/wiki/3-Ethylphenol
compound,3-hydroxy-carbofuran,3-hydroxy-carbofuran,,,,
compound,3-methyl-1h-indole,3-methyl-1h-indole,,3-methylindole,,https://en.wikipedia.org/wiki/3-methylindole
compound,3-methylcholanthrene,3-methylcholanthrene,,,,https://en.wikipedia.org/wiki/3-methylcholanthrene
compound,3-methylpentane,3-methylpentane,,"pentane,-3-methyl-",,https://en.wikipedia.org/wiki/3-Methylpentane
compound,3-nitroaniline,3-nitroaniline,,m-nitroaniline,,https://en.wikipedia.org/wiki/3-Nitroaniline
compound,3-nitrophenol,3-nitrophenol,,m-nitrophenol,,
compound,3-nitrotoluene,3-nitrotoluene,,m-nitrotoluene,,https://en.wikipedia.org/wiki/3-Nitrotoluene
compound,3-tert-butyl-4-hydroxyanisole,3-tert-butyl-4-hydroxyanisole,,,,
compound,"3,3'-dichlorobenzidine","3,3'-dichlorobenzidine",,,,"https://en.wikipedia.org/wiki/3,3%27-Dichlorobenzidine"
compound,"3,3'-dimethylbenzidine","3,3'-dimethylbenzidine",,"orthotolidine, o-tolidine",,"https://en.wikipedia.org/wiki/3,3%27-Dimethylbenzidine"
compound,"3,4-dichloroaniline","3,4-dichloroaniline",,,,https://en.wikipedia.org/wiki/Dichloroaniline
compound,"3,4-dichlorophenyl-isocyanate","3,4-dichlorophenyl-isocyanate",,,,"https://en.wikipedia.org/wiki/3,4-Dichlorphenylisocyanate"
compound,"3,5-dichloroaniline","3,5-dichloroaniline",,,,
compound,"3,5-dimethylphenol","3,5-dimethylphenol",,,,
compound,"3,5-dinitroaniline","3,5-dinitroaniline",,,,
compound,"3,5,6-trichloro-2-pyridinol","3,5,6-trichloro-2-pyridinol",,,,
compound,4-(4-chlorophenoxy)aniline,4-(4-chlorophenoxy)aniline,,"benzenamine,-4-(4-chlorophenoxy)-",,
compound,"4-amino-2,6-dinitrotoluene","4-amino-2,6-dinitrotoluene",,,,
compound,4-aminobiphenyl,4-aminobiphenyl,,,,https://en.wikipedia.org/wiki/4-Aminobiphenyl
compound,4-bromophenyl-phenyl-ether,4-bromophenyl-phenyl-ether,,p-bromophenyl-phenyl-ether,,
