phenomenon_id,participant1,participant1cat,participant1cattype,participant1class,participant2,participant2cat,participant2cattype,participant2class,participant3,participant3cat,participant3cattype,participant3class,participant4,participant4cat,participant4cattype,participant4class,participant5,participant5cat,participant5cattype,participant5class
(earth_crust)@context~in_(material_isobaric-process),earth_crust,context,in,"body, ",material_isobaric-process,,,"phenomenon, ",,,,,,,,,,,,
(earth_crust)@context~in_(material_isochoric-process),earth_crust,context,in,"body, ",material_isochoric-process,,,"phenomenon, ",,,,,,,,,,,,
(earth_crust)@context~in_(material_isothermal-process),earth_crust,context,in,"body, ",material_isothermal-process,,,"phenomenon, ",,,,,,,,,,,,
(earth_crust)@context~in_(material~melt@medium_(carbonatite_melt)),earth_crust,context,in,"body, ",material~melt@medium_(carbonatite_melt),,,,,,,,,,,,,,,
(earth_crust)@context~in_material,earth_crust,context,in,"body, ",material,,,"matter, ",,,,,,,,,,,,
(earth_interior)@context~in_((earthquake@context~source_wave~seismic)@role~main_arrival),earth_interior,context,in,"body, ",(earthquake@context~source_wave~seismic)@role~main_arrival,,,,,,,,,,,,,,,
(earth_interior)@context~in_(earthquake@context~source_(fault_plane)),earth_interior,context,in,"body, ",earthquake@context~source_(fault_plane),,,,,,,,,,,,,,,
(earth_interior)@context~in_(earthquake@context~source_(fault_plane_rupture)),earth_interior,context,in,"body, ",earthquake@context~source_(fault_plane_rupture),,,,,,,,,,,,,,,
(earth_interior)@context~in_(earthquake@context~source_fault),earth_interior,context,in,"body, ",earthquake@context~source_fault,,,,,,,,,,,,,,,
(earth_interior)@context~in_(earthquake@context~source_rupture),earth_interior,context,in,"body, ",earthquake@context~source_rupture,,,,,,,,,,,,,,,
(earth_interior)@context~in_(earthquake@context~source_slip~seismic),earth_interior,context,in,"body, ",earthquake@context~source_slip~seismic,,,,,,,,,,,,,,,
(earth_interior)@context~in_(earthquake@context~source_wave~seismic),earth_interior,context,in,"body, ",earthquake@context~source_wave~seismic,,,,,,,,,,,,,,,
(earth_interior)@context~in_(earthquake@context~source_wave~seismic~love),earth_interior,context,in,"body, ",earthquake@context~source_wave~seismic~love,,,,,,,,,,,,,,,
(earth_interior)@context~in_(earthquake@context~source_wave~seismic~p),earth_interior,context,in,"body, ",earthquake@context~source_wave~seismic~p,,,,,,,,,,,,,,,
(earth_interior)@context~in_(earthquake@context~source_wave~seismic~rayleigh),earth_interior,context,in,"body, ",earthquake@context~source_wave~seismic~rayleigh,,,,,,,,,,,,,,,
(earth_interior)@context~in_(earthquake@context~source_wave~seismic~s),earth_interior,context,in,"body, ",earthquake@context~source_wave~seismic~s,,,,,,,,,,,,,,,
(earth_interior)@context~in_(earthquake_focus),earth_interior,context,in,"body, ",earthquake_focus,,,"phenomenon, ",,,,,,,,,,,,
(earth_interior)@context~in_(earthquake_hypocenter),earth_interior,context,in,"body, ",earthquake_hypocenter,,,"phenomenon, ",,,,,,,,,,,,
(earth_interior)@context~in_(particle_motion),earth_interior,context,in,"body, ",particle_motion,,,"phenomenon, ",,,,,,,,,,,,
(earth_interior)@context~in_(particle_motion_acceleration),earth_interior,context,in,"body, ",particle_motion_acceleration,,,"phenomenon, ",,,,,,,,,,,,
(earth_interior)@context~in_(wave~seismic@role~main_arrival),earth_interior,context,in,"body, ",wave~seismic@role~main_arrival,,,,,,,,,,,,,,,
(earth_interior)@context~in_earthquake,earth_interior,context,in,"body, ",earthquake,,,"phenomenon, ",,,,,,,,,,,,
(earth_interior)@context~in_particle,earth_interior,context,in,"body, ",particle,,,"form, ",,,,,,,,,,,,
(earth_interior)@context~in_wave~seismic,earth_interior,context,in,"body, ",wave~seismic,,,"phenomenon, ",,,,,,,,,,,,
(earth_interior)@context~in_wave~seismic~love,earth_interior,context,in,"body, ",wave~seismic~love,,,"phenomenon, ",,,,,,,,,,,,
(earth_interior)@context~in_wave~seismic~p,earth_interior,context,in,"body, ",wave~seismic~p,,,"phenomenon, ",,,,,,,,,,,,
(earth_interior)@context~in_wave~seismic~rayleigh,earth_interior,context,in,"body, ",wave~seismic~rayleigh,,,"phenomenon, ",,,,,,,,,,,,
(earth_interior)@context~in_wave~seismic~s,earth_interior,context,in,"body, ",wave~seismic~s,,,"phenomenon, ",,,,,,,,,,,,
(earth_mantle)@context~in_((material_mineral-phase)@context~in_oxygen),earth_mantle,context,in,"body, ",(material_mineral-phase)@context~in_oxygen,,,,,,,,,,,,,,,
(earth_mantle)@context~in_((material_mineral-phase)@medium_(carbonatite_melt)),earth_mantle,context,in,"body, ",(material_mineral-phase)@medium_(carbonatite_melt),,,,,,,,,,,,,,,
(earth_mantle)@context~in_((material_mineral-phase)@medium_(material_melt~partial)),earth_mantle,context,in,"body, ",(material_mineral-phase)@medium_(material_melt~partial),,,,,,,,,,,,,,,
(earth_mantle)@context~in_((material_mineral-phase)@medium_water),earth_mantle,context,in,"body, ",(material_mineral-phase)@medium_water,,,,,,,,,,,,,,,
(earth_mantle)@context~in_((material_mineral-phase~melt)@medium_water),earth_mantle,context,in,"body, ",(material_mineral-phase~melt)@medium_water,,,,,,,,,,,,,,,
(earth_mantle)@context~in_(material@context~in_oxygen),earth_mantle,context,in,"body, ",material@context~in_oxygen,,,,,,,,,,,,,,,
(earth_mantle)@context~in_(material@medium_(material_melt~partial)),earth_mantle,context,in,"body, ",material@medium_(material_melt~partial),,,,,,,,,,,,,,,
(earth_mantle)@context~in_(material@medium_water),earth_mantle,context,in,"body, ",material@medium_water,,,,,,,,,,,,,,,
(earth_mantle)@context~in_(material@role~medium_wave~seismic~p@role~main),earth_mantle,context,in,"body, ",material@role~medium_wave~seismic~p@role~main,,,,,,,,,,,,,,,
(earth_mantle)@context~in_(material@role~medium_wave~seismic~s@role~main),earth_mantle,context,in,"body, ",material@role~medium_wave~seismic~s@role~main,,,,,,,,,,,,,,,
(earth_mantle)@context~in_(material@role~medium_wave~seismic~sh@role~main),earth_mantle,context,in,"body, ",material@role~medium_wave~seismic~sh@role~main,,,,,,,,,,,,,,,
