body_taxonomic,body_id,body_label,role,form,attribute,synonym,plural_of,wikipedia_page
,cyclaspis,cyclaspis,,,,,,https://en.wikipedia.org/wiki/Cyclaspis
,cyclocypria,cyclocypria,,,,,,
,cyclocypris,cyclocypris,,,,,,
,cyclopidae,cyclopidae,,,,,,https://en.wikipedia.org/wiki/Cyclopidae
,cyclopoida,cyclopoida,,,,,,https://en.wikipedia.org/wiki/Cyclopoida
,cyclops,cyclops,,,,,,https://en.wikipedia.org/wiki/Cyclops_(genus)
,cymothoidae,cymothoidae,,,,,,https://en.wikipedia.org/wiki/Cymothoidae
,cypria,cypria,,,,,,
,cypricercus,cypricercus,,,,,,https://en.wikipedia.org/wiki/Cypricercus
,cypridopsis,cypridopsis,,,,,,
,cyprinotus,cyprinotus,,,,,,
,cypris,cypris,,,,,,
,cyrnellus,cyrnellus,,,,,,
cyrnellus,cyrnellus~fraternus,cyrnellus~fraternus,,,,,,
,dactylolabis,dactylolabis,,,,,,https://en.wikipedia.org/wiki/Dactylolabis
,daphnia,daphnia,,,,,,https://en.wikipedia.org/wiki/Daphnia
,daphnidae,daphnidae,,,,daphniidae,,https://en.wikipedia.org/wiki/Daphniidae
,dasyhelea,dasyhelea,,,,,,https://en.wikipedia.org/wiki/Dasyhelea
,decapoda,decapoda,,,,,,https://en.wikipedia.org/wiki/Decapoda
,demicryptochironomus,demicryptochironomus,,,,,,https://en.wikipedia.org/wiki/Demicryptochironomus
,dendrocoelidae,dendrocoelidae,,,,,,https://en.wikipedia.org/wiki/Dendrocoelidae
,dero,dero,,,,,,
,desmona,desmona,,,,,,
,deuterophlebia,deuterophlebia,,,,,,https://en.wikipedia.org/wiki/Deuterophlebia
,deuterophlebiidae,deuterophlebiidae,,,,,,
,diamesa,diamesa,,,,,,https://en.wikipedia.org/wiki/Diamesa
,diaphanosoma,diaphanosoma,,,,,,
,diaptomidae,diaptomidae,,,,,,https://en.wikipedia.org/wiki/Diaptomidae
,diaptomus,diaptomus,,,,,,https://en.wikipedia.org/wiki/Diaptomus
,diastylidae,diastylidae,,,,,,https://en.wikipedia.org/wiki/Diastylidae
,diastylis,diastylis,,,,,,https://en.wikipedia.org/wiki/Diastylis
,dibusa,dibusa,,,,,,
dibusa,dibusa~angata,dibusa~angata,,,,,,
,dicosmoecus,dicosmoecus,,,,,,
,dicranota,dicranota,,,,,,https://en.wikipedia.org/wiki/Dicranota
,dictya,dictya,,,,,,https://en.wikipedia.org/wiki/Dictya
,dina,dina,,,,,,
,diplectrona,diplectrona,,,,,,
,diplocladius,diplocladius,,,,,,https://en.wikipedia.org/wiki/Diplocladius
,diptera,diptera,,,,fly,,https://en.wikipedia.org/wiki/Fly
,dixa,dixa,,,,,,
,dixella,dixella,,,,,,
,dixidae,dixidae,,,,,,https://en.wikipedia.org/wiki/Dixidae
,dolichocephala,dolichocephala,,,,,,https://en.wikipedia.org/wiki/Dolichocephala
,dolichopodidae,dolichopodidae,,,,,,https://en.wikipedia.org/wiki/Dolichopodidae
,dolichopus,dolichopus,,,,,,https://en.wikipedia.org/wiki/Dolichopus
,dolophilodes,dolophilodes,,,,,,
,dorvilleidae,dorvilleidae,,,,,,
,dugesia,dugesia,,,,,,https://en.wikipedia.org/wiki/Dugesia
,ecclisocosmoecus,ecclisocosmoecus,,,,,,
,ecclisomyia,ecclisomyia,,,,,,
,einfeldia,einfeldia,,,,,,https://en.wikipedia.org/wiki/Einfeldia
,elasmopus,elasmopus,,,,,,
,elgiva,elgiva,,,,,,
,elliptera,elliptera,,,,,,https://en.wikipedia.org/wiki/Elliptera
,empididae,empididae,,,,,,https://en.wikipedia.org/wiki/Empididae
,emplectonematidae,emplectonematidae,,,,,,
,enchytraeidae,enchytraeidae,,,,,,https://en.wikipedia.org/wiki/Enchytraeidae
,endochironomus,endochironomus,,,,,,https://en.wikipedia.org/wiki/Endochironomus
,enopla,enopla,,,,,,https://en.wikipedia.org/wiki/Enopla
,enterobacter,enterobacter,,,,,,https://en.wikipedia.org/wiki/Enterobacter
enterobacter,enterobacter~cloacae,enterobacter~cloacae,,,,,,https://en.wikipedia.org/wiki/Enterobacter_cloacae
,enterococci,enterococci,,,,,enterococcus,
,enterococcus,enterococcus,,,,,,https://en.wikipedia.org/wiki/Enterococcus
,eobrachycentrus,eobrachycentrus,,,,,,
,eoparargyractis,eoparargyractis,,,,,,https://en.wikipedia.org/wiki/Eoparargyractis
,ephydra,ephydra,,,,,,
,ephydridae,ephydridae,,,,,,https://en.wikipedia.org/wiki/Ephydridae
,epinebalia,epinebalia,,,,,,
,epithemiaceae,epithemiaceae,,,,,,
,epoicocladius,epoicocladius,,,,,,https://en.wikipedia.org/wiki/Epoicocladius
,eriocera,eriocera,,,,,,https://en.wikipedia.org/wiki/Eriocera
,erioptera,erioptera,,,,,,https://en.wikipedia.org/wiki/Erioptera
,eristalis,eristalis,,,,,,https://en.wikipedia.org/wiki/Eristalis
,erpobdella,erpobdella,,,,,,https://en.wikipedia.org/wiki/Erpobdella
,erpobdellidae,erpobdellidae,,,,,,https://en.wikipedia.org/wiki/Erpobdellidae
,escherichia,escherichia,,,,,,https://en.wikipedia.org/wiki/Escherichia
escherichia,escherichia~coli,escherichia~coli,,,,,,https://en.wikipedia.org/wiki/Escherichia_coli
,eteone,eteone,,,,,,
,euchlanis,euchlanis,,,,,,
,eucorethra,eucorethra,,,,,,
,eucyclops,eucyclops,,,,,,
,eucypris,eucypris,,,,,,
,eukiefferiella,eukiefferiella,,,,,,https://en.wikipedia.org/wiki/Eukiefferiella
,eunicidae,eunicidae,,,,,,https://en.wikipedia.org/wiki/Eunicidae
,euparyphus,euparyphus,,,,,,https://en.wikipedia.org/wiki/Euparyphus
,euphausiacea,euphausiacea,,,,krill,,https://en.wikipedia.org/wiki/Krill
,euphrosinidae,euphrosinidae,,,,,,https://en.wikipedia.org/wiki/Euphrosinidae
,eurycercus,eurycercus,,,,,,
,eurytemora,eurytemora,,,,,,
,eusimulium,eusimulium,,,,,,
,exosphaeroma,exosphaeroma,,,,,,https://en.wikipedia.org/wiki/Exosphaeroma
,fabria,fabria,,,,,,
,farula,farula,,,,,,
,fattigia,fattigia,,,,,,
,filinia,filinia,,,,,,
,fish,fish,,,,,,http://en.wikipedia.org/wiki/Fish
,flabelligeridae,flabelligeridae,,,,,,
,flagellate,flagellate,,,,,,https://en.wikipedia.org/wiki/Flagellate
,flagellates,flagellates,,,,,flagellate,
,flosculariaceae,flosculariaceae,,,,,,
,foraminiferida,foraminiferida,,,,,,
,forcipomyia,forcipomyia,,,,,,https://en.wikipedia.org/wiki/Forcipomyia
,frenesia,frenesia,,,,,,
,gammaridae,gammaridae,,,,,,https://en.wikipedia.org/wiki/Gammaridae
,gammarus,gammarus,,,,,,https://en.wikipedia.org/wiki/Gammarus
,gastropidae,gastropidae,,,,,,
,georthocladius,georthocladius,,,,,,https://en.wikipedia.org/wiki/Georthocladius
,giardia,giardia,,,,,,https://en.wikipedia.org/wiki/Giardia
,glacier,glacier,,,,,,http://en.wikipedia.org/wiki/Glacier
,glossiphonia,glossiphonia,,,,,,
,glossiphoniidae,glossiphoniidae,,,,,,https://en.wikipedia.org/wiki/Glossiphoniidae
,glossosoma,glossosoma,,,,,,
,glossosomatidae,glossosomatidae,,,,,,https://en.wikipedia.org/wiki/Glossosomatidae
,glycera,glycera,,,,,,https://en.wikipedia.org/wiki/Glycera_(annelid)
,glyceridae,glyceridae,,,,,,https://en.wikipedia.org/wiki/Glyceridae
,glyphopsyche,glyphopsyche,,,,,,
,glyphotaelius,glyphotaelius,,,,,,
,glyptotendipes,glyptotendipes,,,,,,https://en.wikipedia.org/wiki/Glyptotendipes
,gnathobdellida,gnathobdellida,,,,hirudiniformes,,https://en.wikipedia.org/wiki/Hirudiniformes
,gnorimosphaeroma,gnorimosphaeroma,,,,,,https://en.wikipedia.org/wiki/Gnorimosphaeroma
,goeldichironomus,goeldichironomus,,,,,,
,goera,goera,,,,,,
,goeracea,goeracea,,,,,,
,goereilla,goereilla,,,,,,
,goeridae,goeridae,,,,,,
,goerita,goerita,,,,,,
,goniadidae,goniadidae,,,,,,
,gonomyia,gonomyia,,,,,,https://en.wikipedia.org/wiki/Gonomyia
,graceus,graceus,,,,,,https://en.wikipedia.org/wiki/Graceus
,grammotaulius,grammotaulius,,,,,,
,greniera,greniera,,,,,,
,grensia,grensia,,,,,,
,gumaga,gumaga,,,,,,
,guttipelopia,guttipelopia,,,,,,https://en.wikipedia.org/wiki/Guttipelopia
,gymnopais,gymnopais,,,,,,
,hagenella,hagenella,,,,,,
,halesochila,halesochila,,,,,,
,halocladius,halocladius,,,,,,https://en.wikipedia.org/wiki/Halocladius
,haploscoloplos,haploscoloplos,,,,,,
,haplotaxidae,haplotaxidae,,,,,,
,harnischia,harnischia,,,,,,https://en.wikipedia.org/wiki/Harnischia
,harpacticoida,harpacticoida,,,,,,https://en.wikipedia.org/wiki/Harpacticoida
,hedria,hedria,,,,,,
,heleniella,heleniella,,,,,,https://en.wikipedia.org/wiki/Heleniella
,helicobacter,helicobacter,,,,,,https://en.wikipedia.org/wiki/Helicobacter
helicobacter,helicobacter~pylori,helicobacter~pylori,,,,,,https://en.wikipedia.org/wiki/Helicobacter_pylori
,helicopsyche,helicopsyche,,,,,,https://en.wikipedia.org/wiki/Helicopsyche
,helicopsychidae,helicopsychidae,,,,caddisfly~snail-case,,https://en.wikipedia.org/wiki/Snail-case_caddisfly
,helius,helius,,,,,,https://en.wikipedia.org/wiki/Helius_(fly)
,helobdella,helobdella,,,,,,https://en.wikipedia.org/wiki/Helobdella
,hemerodromia,hemerodromia,,,,,,
,herpetocypris,herpetocypris,,,,,,
,hesionidae,hesionidae,,,,,,https://en.wikipedia.org/wiki/Hesionidae
,hesperophylax,hesperophylax,,,,,,
,heteromyia,heteromyia,,,,,,
,heteronemertea,heteronemertea,,,,,,https://en.wikipedia.org/wiki/Heteronemertea
,heteroplectron,heteroplectron,,,,,,
,heterotanytarsus,heterotanytarsus,,,,,,https://en.wikipedia.org/wiki/Heterotanytarsus
