body_taxonomic,body_id,body_label,body,part,form,expressed-as,matter,attribute,synonym,plural_of,wikipedia_page
,snow_grains,snow_grains,,,grains,,snow,,,,
,snowpack,snowpack,,,,,,,,,http://en.wikipedia.org/wiki/Snowpack
,snowpack_bottom,snowpack_bottom,snowpack,bottom,,,,,,,
,snowpack_core,snowpack_core,snowpack,core,,,,,,,
,snowpack_crust_layer~first,snowpack_crust_layer~first,snowpack,layer~first,,,,,,,
,snowpack_crust_layer~second,snowpack_crust_layer~second,snowpack,layer~second,,,,,,,
,snowpack_top,snowpack_top,snowpack,top,,,,,,,
,soil_active-layer,soil_active-layer,,active-layer,,,soil,,,,
soil_active-layer,soil_active-layer_saturated,soil_active-layer_saturated,,,,,,saturated,,,
,soil_bulk,soil_bulk,,,bulk,,soil,,,,
,soil_horizon~a,soil_horizon~a,,horizon~a,,,soil,,,,
,soil_horizon~b,soil_horizon~b,,horizon~b,,,soil,,,,
,soil_horizon~c,soil_horizon~c,,horizon~c,,,soil,,,,
,soil_horizon~d,soil_horizon~d,,horizon~d,,,soil,,,,
,soil_horizon~e,soil_horizon~e,,horizon~e,,,soil,,,,
,soil_horizon~l,soil_horizon~l,,horizon~l,,,soil,,,,
,soil_horizon~o,soil_horizon~o,,horizon~o,,,soil,,,,
,soil_horizon~p,soil_horizon~p,,horizon~p,,,soil,,,,
,soil_horizon~r,soil_horizon~r,,horizon~r,,,soil,,,,
,soil_layer,soil_layer,,layer,,,soil,,,,
,soil_layer~base,soil_layer~base,,layer~base,,,soil,,,,
,soil_layer~0,soil_layer~0,,layer~0,,,soil,,,,
soil_layer~0,soil_layer~0_saturated,soil_layer~0_saturated,,,,,,saturated,,,
,soil_layer~1,soil_layer~1,,layer~1,,,soil,,,,
soil_layer~1,soil_layer~1_saturated,soil_layer~1_saturated,,,,,,saturated,,,
,soil_layer~2,soil_layer~2,,layer~2,,,soil,,,,
soil_layer~2,soil_layer~2_saturated,soil_layer~2_saturated,,,,,,saturated,,,
,soil_layer~top,soil_layer~top,,layer~top,,,soil,,,,
soil_layer~top,soil_layer~top~infiltration,soil_layer~top~infiltration,,,,,,,,,
soil_layer~top,soil_layer~top_saturated,soil_layer~top_saturated,,,,,,saturated,,,
,soil_particle,soil_particle,,,particle,,soil,,,,
,soil_permafrost_bottom,soil_permafrost_bottom,,bottom,,,soil_permafrost,,,,
,soil_permafrost_top,soil_permafrost_top,,top,,,soil_permafrost,,,,
,soil_pool,soil_pool,,,pool,,soil,,,,
soil_pool,soil_pool~stabilized,soil_pool~stabilized,,,,,,stabilized,,,
soil_pool,soil_pool~organic~stabilized,soil_pool~organic~stabilized,,,,,,"organic, stabilized",,,
,soil_regolith-layer,soil_regolith-layer,,regolith-layer,,,soil,,,,
