https://w3id.org/mint/modelCatalog#VariablePresentation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/mint/modelCatalog#hasShortName,https://w3id.org/mint/modelCatalog#hasLongName,http://purl.org/dc/terms/description,https://w3id.org/mint/modelCatalog#hasStandardVariable,https://w3id.org/mint/modelCatalog#usesUnit,https://w3id.org/mint/modelCatalog#hasCanonicalName,https://w3id.org/mint/modelCatalog#hasMinimumAcceptedValue,https://w3id.org/mint/modelCatalog#hasMaximumAcceptedValue,https://w3id.org/mint/modelCatalog#hasDefaultValue
cycles_bd,BD,BD,bulk density,Soil mass dry and wihtout rock divided by the sampled volume,soil~no-rock~dry__mass-per-volume_density,Mg/m3,,,,
cycles_som,SOM,SOM,soil organic matter,Soil organic matter per unit of non-rock soil expressed as percentage over total mass,soil_matter~organic__mass_fraction,kg/kg x 100,,,,
cycles_smc,SMC,SMC,soil moisture content,Soil moisture content of each layer indexed from top to bottom,soil_water__volume_fraction,m3/m3,soil_water__volume_fraction,,,
cycles_total_biomass,TOTAL BIOMASS,TOTAL BIOMASS,total plant biomass,Total plant mass at time of grain or forage harvest or death,plant_at-grain-or-forage-harvest-or-death__mass-per-area_density,Mg/ha,,,,
cycles_root_biomass,ROOT BIOMASS,ROOT BIOMASS,root biomass,Root biomass at time of grain or forage harvests or death,plant_root_at-grain-or-forage-harvest-or-death__mass-per-area_density,Mg/ha,,,,
cycles_grain_yield,GRAIN YIELD,GRAIN YIELD,grain yield,Grain yield removed from the field dry basis,grain~dry__mass-per-area_yield,Mg/ha,,,,
cycles_residue_evap,RESIDUE EVAP,RESIDUE EVAP,water evaporation from residues on soil,Evaporation from soil residues,soil_plant_residue_water__evaporation_volume_flux,mm/day,,,,
cycles_plant_evap,PLANT EVAP,PLANT EVAP,water evaporation from leaving plants,Evaporation from living plants,plants~living_water__evaporation_volume_flux,mm/day,,,,
cycles_swc,SWC,SWC,soil water content by layer,Soil moisture content (array of size = number of soil layers),soil_water__volume_fraction,m3/m3,,,,
,,,,,,,,,,
wgen_stationid,id,id,station id,Station ID,,,,,,
wgen_lon,lon,lon,longtiude,Longitude,,,,,,
wgen_lat,lat,lat,latitude,Latitude,,,,,,
wgen_year,year,year,year,year,,,,,,
wgen_month,month,month,month,month,,,,,,
wgen_minT,tmin,tmin,minimum temperature,minimum daily air temperature,air__daily_min_of_temperature,deg C,,,,
wgen_maxT,tmax,tmax,maximum temperature,maximum daily air temperature,air__daily_max_of_temperature,deg C,,,,
wgen_cloudfraction,mean_cloud,mean_cloud,cloud fraction,the mean cloud fraction,,,,,,
wgen_windspeed,wind,wind,wind speed,The mean wind speed,,m/s,,,,
wgen_wetdays,wet day,wet day,number of wet days in a month,number of wet days in the month,,,,,,
wgen_day,day,day,day,day,,,,,,
wgen_prcp,prcp,prcp,precipitation,precipitation,atmosphere_water__precipitation_leq_volume_flux,mm/day,,,,
,,,,,,,,,,
climcomp_FLDAS_P,prcp,prcp,precipitation,precipitation,atmosphere_water__precipitation_mass_flux,kg m-2 s-1,,,,
climcomp_P,prcp,prcp,precipitation,precipitation,atmosphere_water__precipitation_mass_flux,kg m-2 s-1,,,,
climcomp_FLDAS_T,temp,temp,temperature,temperature,atmosphere_bottom_air__temperature,deg K,,,,
climcomp_T,temp,temp,temperature,temperature,atmosphere_bottom_air__temperature,deg K,,,,
,,,,,,,,,,
pihm_Height,Height,Height,wind veolcity height,Height of wind velocity observation,land_surface_wind__speed_reference_height,m,,,,
pihm_IsFactor,IsFactor,IsFactor,Interception Storage Factor,Interception Storage Factor.ï¿½,land_vegetation_canopy_water__interception_storage_factor,m,,,,default 0.0002
