full_name,variable_id,variable_label,object_cat,object_id,object_label,object_pref,quantity_id,quantity_label
atmosphere_bottom_air_carbon-dioxide__saturated_partial_pressure,(atmosphere_bottom)@context~in_(air@medium_saturated_carbon-dioxide)__saturated_partial_pressure,atmosphere_bottom_air_carbon-dioxide__saturated_partial_pressure,,(atmosphere_bottom)@context~in_(air@medium_saturated_carbon-dioxide),atmosphere_bottom_air_carbon-dioxide,phenomenon,saturated_partial_pressure,saturated_partial_pressure
atmosphere_bottom_air_flow__bulk_richardson_number,(atmosphere_bottom)@context~in_(air_flowing)__bulk_richardson_number,atmosphere_bottom_air_flow__bulk_richardson_number,,(atmosphere_bottom)@context~in_(air_flowing),atmosphere_bottom_air_flow,phenomenon,bulk_richardson_number,bulk_richardson_number
atmosphere_bottom_air_flow__dynamic_pressure,(atmosphere_bottom)@context~in_(air_flowing)__dynamic_pressure,atmosphere_bottom_air_flow__dynamic_pressure,,(atmosphere_bottom)@context~in_(air_flowing),atmosphere_bottom_air_flow,phenomenon,dynamic_pressure,dynamic_pressure
atmosphere_bottom_air_flow__flux_richardson_number,(atmosphere_bottom)@context~in_(air_flowing)__flux_richardson_number,atmosphere_bottom_air_flow__flux_richardson_number,,(atmosphere_bottom)@context~in_(air_flowing),atmosphere_bottom_air_flow,phenomenon,flux_richardson_number,flux_richardson_number
atmosphere_bottom_air_flow__gradient_richardson_number,(atmosphere_bottom)@context~in_(air_flowing)__gradient_richardson_number,atmosphere_bottom_air_flow__gradient_richardson_number,,(atmosphere_bottom)@context~in_(air_flowing),atmosphere_bottom_air_flow,phenomenon,gradient_richardson_number,gradient_richardson_number
atmosphere_bottom_air_flow__log-law_displacement_length,(atmosphere_bottom)@context~in_(air_flowing)__log-law_displacement_length,atmosphere_bottom_air_flow__log-law_displacement_length,,(atmosphere_bottom)@context~in_(air_flowing),atmosphere_bottom_air_flow,phenomenon,log-law_displacement_length,log-law_displacement_length
atmosphere_bottom_air_flow__log-law_roughness_length,(atmosphere_bottom)@context~in_(air_flowing)__log-law_roughness_length,atmosphere_bottom_air_flow__log-law_roughness_length,,(atmosphere_bottom)@context~in_(air_flowing),atmosphere_bottom_air_flow,phenomenon,log-law_roughness_length,log-law_roughness_length
atmosphere_bottom_air_flow__reference_height_speed,(atmosphere_bottom)@context~in_(air_flowing)__reference_height_speed,atmosphere_bottom_air_flow__reference_height_speed,,(atmosphere_bottom)@context~in_(air_flowing),atmosphere_bottom_air_flow,phenomenon,reference_height_speed,reference_height_speed
atmosphere_bottom_air_flow__speed_reference_height,(atmosphere_bottom)@context~in_(air_flowing)__speed_reference_height,atmosphere_bottom_air_flow__speed_reference_height,,(atmosphere_bottom)@context~in_(air_flowing),atmosphere_bottom_air_flow,phenomenon,speed_reference_height,speed_reference_height
atmosphere_bottom_air_flow__total_pressure,(atmosphere_bottom)@context~in_(air_flowing)__pressure,atmosphere_bottom_air_flow__pressure,,(atmosphere_bottom)@context~in_(air_flowing),atmosphere_bottom_air_flow,phenomenon,pressure,pressure
